m/z	z	I
691.88252	5-	1349235.601
697.65339	6-	1146064.304
699.06808	12-	1237152.998
701.06996	12-	3591990.117
706.33798	4-	3415115.114
710.32297	12-	35094811.31
711.49094	12-	4915910.083
712.15524	12-	5128785.497
712.18702	6-	978603.252
713.48496	12-	1443265.378
731.25592	12-	7473172.188
732.42359	12-	1771887.963
733.08747	12-	660358.7407
743.62146	11-	1648757.976
746.74413	6-	1239754.538
747.25885	11-	2625538.59
747.88301	5-	1290560.501
753.07624	10-	3397779.55
754.37616	10-	741527.2369
757.69099	5-	2503114.168
761.25666	11-	1847263.892
762.71239	11-	1983942.63
764.89378	11-	4529568.709
766.08052	11-	820632.1156
766.4428	11-	1443125.564
770.26177	11-	2996032.702
771.53568	11-	1548132.543
774.98806	11-	116568213.3
776.26278	11-	14550553.99
776.81471	12-	846571.9539
776.98705	11-	21480276.61
777.62709	11-	778718.8226
777.98958	11-	2032787.077
778.43958	11-	4818348.466
778.89316	11-	2514438.559
780.43613	11-	961672.745
782.58168	4-	2947678.293
783.67916	10-	1279668.912
787.72812	11-	1146817.154
789.40295	6-	3783313.877
797.82402	11-	24937364.3
797.90143	11-	2127134.253
798.2426	5-	1754705.202
799.09831	11-	5276763.701
799.82294	11-	4539450.001
800.73482	11-	749519.1895
801.27878	11-	1575107.668
802.00797	11-	723188.0417
802.85935	9-	1956602.942
809.08413	5-	4267599.269
818.08328	10-	3557726.032
820.65935	11-	1466173.75
822.08468	10-	5785550.603
824.18082	10-	966928.5775
830.92885	6-	1517809.089
836.86128	9-	4934055.146
839.08174	10-	1480829.24
841.48278	10-	2981331.943
843.19201	10-	1579761.13
847.09717	10-	1196688.076
847.38877	10-	4828155.291
848.78773	10-	3099618.63
852.58552	10-	213054725.5
852.78545	1-	11799666.98
853.98775	10-	27732811.93
854.66594	10-	2581293.784
854.68785	1-	9287022.492
854.78446	10-	39115584.18
855.58828	10-	2446168.809
856.18456	1-	9176666.172
856.2842	1-	12872412.06
856.38294	10-	11839906.33
856.47199	2-	3060162.477
857.28284	5-	4303808.98
857.38342	1-	12383507.53
858.17994	2-	3436230.484
858.47741	10-	2636475.266
861.29249	10-	1508619.256
864.77206	9-	2273709.495
870.28533	5-	2640164.452
872.50619	10-	1768798.687
877.70558	10-	42484346.64
877.88742	10-	2614076.888
879.10687	10-	9558487.083
879.39959	10-	884982.1095
879.9036	10-	8395730.088
880.8063	10-	1308041.415
881.50197	10-	2546497.039
882.10653	10-	1600630.563
902.82498	10-	2025741.264
903.33851	8-	1314400.168
909.0918	9-	3163709.051
913.53588	9-	6987125.165
915.86753	9-	2012909.712
936.99122	9-	1679638.186
941.32992	9-	1452053.072
941.59299	8-	3694562.978
941.64949	9-	6636313.24
943.20901	9-	3528698.485
944.31028	9-	1443651.459
947.42646	9-	232322208.9
948.98496	9-	30759561.5
949.36385	5-	2398268.895
949.84117	9-	3546289.734
949.86956	9-	50275111.32
950.42815	9-	2484813.375
951.09642	9-	3950641.439
951.64608	9-	15140194.44
952.31273	9-	5270346.913
953.20225	9-	1873129.737
953.97669	9-	2877061.456
954.41985	9-	2449097.993
955.42957	9-	1178433.209
969.55795	9-	1242307.73
972.99184	8-	1295005.337
975.33804	9-	51359627.54
976.89519	9-	10691698.8
977.46384	5-	1932693.666
977.78029	9-	11569110.96
979.15939	5-	2950519.326
979.66749	9-	3926327.326
980.44885	9-	1171874.2
981.99816	9-	1290720.501
997.71874	5-	3606393.527
1003.24698	9-	2447477.561
1022.84981	8-	3167766.873
1027.85091	8-	6292730.072
1030.47256	8-	1719227.308
1032.52522	7-	1663583.495
1059.48151	8-	3779357.238
1061.47831	2-	2690653.643
1062.10128	8-	1722090.462
1065.97748	8-	170925411.4
1067.73142	8-	23969270.14
1068.68796	8-	3759109.584
1068.72642	8-	45982641.05
1070.72527	8-	12660607.11
1071.34895	8-	7325821.953
1073.3602	8-	3572823.328
1073.46585	8-	3984045
1076.24556	7-	3523697.672
1090.87731	8-	1504955.766
1097.33941	8-	2924488.743
1097.37646	8-	41274632.57
1099.1284	8-	8861228.791
1100.12575	8-	8802663.043
1100.12591	8-	6045692.395
1101.50139	8-	1881376.694
1102.12542	8-	3833951.145
1102.87815	8-	1875167.512
1112.13061	7-	2040232.329
1122.75426	8-	5267744.13
1125.50366	8-	1392623.067
1128.7736	8-	1707295.185
1154.14749	8-	1161614.904
1169.11094	7-	2238060.641
1174.82281	7-	3280944.094
1204.77701	6-	2213636.548
1210.96865	7-	2339693.512
1218.33533	7-	5694822.694
1218.39923	7-	78379768.68
1218.47949	1-	5416912.418
1218.48728	9-	2974206.369
1219.26127	2-	3219404.953
1220.40109	7-	11068493.72
1221.53994	7-	24933100.91
1221.56128	3-	2840322.322
1221.83687	3-	2173610.882
1223.82143	7-	9020516.692
1224.67784	7-	4505716.702
1226.82775	7-	3132484.785
1254.07542	7-	3146964.964
1254.28273	7-	25031894.19
1255.78076	6-	3602841.427
1256.2882	7-	4386900.408
1257.42444	7-	7782099.751
1259.85076	7-	3471080.504
1283.2866	7-	8055664.827
1286.42096	7-	2931722.202
1288.70688	7-	4619043.343
1290.1678	7-	1952784.39
1297.97601	2-	3233381.119
1319.1736	7-	1719084.534
1370.79257	6-	3737804.153
1412.95698	6-	2342832.484
1415.29048	6-	1824460.336
1419.9327	4-	1865162.932
1421.37786	6-	10618917.46
1421.61941	6-	68185769.13
1423.95752	6-	8664733.451
1425.28436	6-	28059162.13
1427.95028	6-	9413259.328
1428.94772	6-	6934559.354
1431.45752	6-	5604464.672
1435.8054	6-	11355054.07
1439.47293	6-	3077783.66
1449.97752	6-	1745148.741
1463.24341	6-	4825857.328
1463.48553	6-	26608977.43
1465.82443	6-	4812156.57
1467.14624	6-	10046677.29
1469.81098	6-	4601770.371
1470.80403	6-	2597907.623
1473.48127	6-	1832667.515
1477.66594	6-	3861091.052
1497.09043	6-	1758728.196
1497.32121	6-	9831137.993
1500.98881	6-	5516763.983
1503.81381	6-	5673327.478
1505.35845	6-	1602116.275
1539.18669	6-	2992380.27
