fragment,mass,Intensities
,4177.721558,0.041429
,4178.723998,0.016629
,4179.726417,0.005975
,4180.728817,0.001952
a13+CMCT-G,4156.713707,0.1625686
,4157.716496,0.266986
,4158.719122,0.247617
,4159.721675,0.166625
,4160.72418,0.089994
,4161.726648,0.041153
,4162.72909,0.016469
,4163.731509,0.005898
,4164.73391,0.001921
a13-A,3921.508859,0.1918379
,3922.511626,0.283129
,3923.514202,0.242586
,3924.516713,0.152452
,3925.519174,0.077489
,3926.521604,0.033526
,3927.524007,0.012746
,3928.526391,0.004351
a13-G,3905.513944,0.1923049
,3906.516711,0.283744
,3907.519289,0.242673
,3908.5218,0.152148
,3909.524263,0.077121
,3910.526693,0.033265
,3911.529098,0.012606
,3912.531483,0.004288
a14,4361.604641,0.1570788
,4362.607367,0.261115
,4363.609938,0.246703
,4364.612444,0.169583
,4365.614905,0.093743
,4366.617334,0.043936
,4367.619738,0.018041
,4368.622123,0.006635
,4369.624491,0.002221
a14+CMCT,4612.804403,0.1327931
,4613.807154,0.242895
,4614.809767,0.247389
,4615.812312,0.181619
,4616.814811,0.106538
,4617.817275,0.052744
,4618.819714,0.022796
,4619.822131,0.0088
,4620.824531,0.003084
a14+CMCT-A,4477.749908,0.1428358
,4478.752698,0.250789
,4479.755332,0.247368
,4480.757893,0.176614
,4481.760405,0.101047
,4482.762881,0.048894
,4483.765329,0.020688
,4484.767756,0.007828
,4485.770164,0.002693
a14+CMCT-G,4461.754994,0.1431835
,4462.757783,0.251345
,4463.760418,0.24758
,4464.76298,0.176434
,4465.765493,0.100718
,4466.76797,0.048613
,4467.77042,0.020513
,4468.772847,0.00774
,4469.775256,0.002654
a14-A,4226.550146,0.1689721
,4227.552915,0.268493
,4228.555504,0.245292
,4229.558026,0.163792
,4230.560499,0.088237
,4231.562939,0.040394
,4232.565353,0.016229
,4233.567747,0.005848
,4234.570124,0.00192
a14-G,4210.555231,0.1693834
,4211.558,0.269082
,4212.560591,0.245439
,4213.563113,0.163545
,4214.565588,0.087886
,4215.568029,0.040123
,4216.570444,0.016073
,4217.572838,0.005774
,4218.575216,0.00189
a15,4706.652076,0.1358712
,4707.654787,0.243703
,4708.657357,0.246092
,4709.659864,0.180056
,4710.662327,0.105641
,4711.664758,0.052447
,4712.667164,0.022777
,4713.669552,0.00885
,4714.671923,0.003126
a15+CMCT,4957.851838,0.1148527
,4958.854573,0.225162
,4959.857182,0.244122
,4960.859726,0.190127
,4961.862224,0.118038
,4962.86469,0.061743
,4963.867129,0.028158
,4964.869547,0.011458
,4965.871948,0.00423
a15+CMCT-A,4822.797343,0.1235567
,4823.800114,0.233164
,4824.802743,0.24523
,4825.805302,0.185994
,4826.807813,0.112754
,4827.810289,0.057703
,4828.812738,0.025785
,4829.815166,0.010294
,4830.817575,0.003732
a15+CMCT-G,4806.802428,0.1238575
,4807.8052,0.233684
,4808.807829,0.245483
,4809.810389,0.185874
,4810.812901,0.112453
,4811.815378,0.057419
,4812.817828,0.025595
,4813.820257,0.010191
,4814.822666,0.003684
a15-A,4571.597581,0.1461632
,4572.600331,0.251443
,4573.60292,0.245947
,4574.605441,0.175057
,4575.607916,0.100213
,4576.610358,0.048646
,4577.612774,0.020691
,4578.61517,0.007884
,4579.617549,0.002734
a15-G,4555.602666,0.146519
,4556.605416,0.252
,4557.608006,0.246149
,4558.610528,0.174871
,4559.613004,0.099885
,4560.615447,0.048367
,4561.617864,0.020518
,4562.62026,0.007796
,4563.62264,0.002696
a16,5051.69951,0.1175321
,5052.702209,0.226243
,5053.704778,0.243186
,5054.707286,0.188676
,5055.70975,0.117079
,5056.712183,0.061361
,5057.714593,0.028092
,5058.716982,0.011493
,5059.719356,0.004271
