ion,mass,Intensities
,6768.943288,0.0312096
,6769.945678,0.0144012
,6770.948054,0.006091
,6771.950418,0.0023852
a21+CMCT,7013.125548,0.0482907
,7014.12823,0.1325362
,7015.130826,0.1957297
,7016.133369,0.2044103
,7017.135873,0.1683121
,7018.138347,0.1158095
,7019.140796,0.0690269
,7020.143226,0.0365188
,7021.14564,0.0174522
,7022.148038,0.0076339
,7023.150425,0.0030878
a21-G,6610.876375,0.061602
,6611.879062,0.1542525
,6612.881648,0.2106176
,6613.884177,0.2049951
,6614.886665,0.1582084
,6615.889123,0.1024736
,6616.891556,0.0576948
,6617.89397,0.0289144
,6618.896367,0.0131208
,6619.89875,0.0054607
,6620.90112,0.0021053
a21+CMCT-G,6862.076138,0.052075
,6863.078844,0.1390832
,6864.081457,0.2005828
,6865.084013,0.2050128
,6866.086528,0.1654686
,6867.089012,0.1117348
,6868.09147,0.0654221
,6869.093908,0.0340274
,6870.096329,0.0159978
,6871.098735,0.006888
,6872.101128,0.0027438
a21-A,6626.87129,0.0614524
,6627.873977,0.1539014
,6628.876563,0.2102912
,6629.879091,0.204894
,6630.881579,0.1583343
,6631.884036,0.1027055
,6632.886468,0.0579183
,6633.888881,0.0290764
,6634.891278,0.0132183
,6635.89366,0.0055117
,6636.89603,0.0021292
a21+CMCT-A,6878.071052,0.0519485
,6879.073759,0.1387652
,6880.076371,0.2002555
,6881.078927,0.2048767
,6882.081441,0.1655563
,6883.083924,0.1119471
,6884.086382,0.0656452
,6885.08882,0.0341989
,6886.09124,0.0161061
,6887.093645,0.0069472
,6888.096038,0.0027726
a22,7090.978305,0.0495332
,7091.98096,0.1341693
,7092.983529,0.1964411
,7093.986046,0.2039638
,7094.988524,0.1673089
,7095.990975,0.1148621
,7096.993402,0.0683946
,7097.99581,0.036186
,7098.998202,0.0173091
,7100.000581,0.007584
,7101.002948,0.0030748
a22+CMCT,7342.178068,0.0418727
,7343.180742,0.1204041
,7344.183336,0.1856127
,7345.185879,0.2018754
,7346.188383,0.172818
,7347.190858,0.1234649
,7348.19331,0.0763289
,7349.195742,0.041849
,7350.198157,0.0207111
,7351.200558,0.0093758
,7352.202946,0.0039228
a22-G,6939.928895,0.0534148
,6940.931574,0.1407455
,6941.934159,0.2012214
,6942.936688,0.2044766
,6943.939177,0.1644232
