fragment,mass,Intensities
,3759.776957,0.175925
,3760.779402,0.09346
,3761.781823,0.041153
,3762.784223,0.015591
,3763.786607,0.005212
a03-G,765.104431,0.7169264
,766.107295,0.213183
,767.109461,0.057125
,768.111915,0.010701
a04,1221.195128,0.5855937
,1222.197817,0.283537
,1223.200135,0.09851
,1224.202503,0.025538
,1225.204795,0.00557
a04+CMCT,1472.39489,0.4950295
,1473.397657,0.32226
,1474.400144,0.130737
,1475.402591,0.039586
,1476.404985,0.009827
a04+CMCT-G,1321.34548,0.5338193
,1322.348368,0.308157
,1323.350873,0.115893
,1324.353359,0.032671
,1325.355777,0.007611
a04+rev,4212.860093,0.1169648
,4213.862649,0.238237
,4214.865153,0.255397
,4215.86762,0.190748
,4216.870058,0.111066
,4217.872473,0.053557
,4218.874869,0.022206
,4219.877249,0.00812
,4220.879614,0.002667
a04+rev+CMCT,4464.059855,0.0988725
,4465.062444,0.217879
,4466.064985,0.250979
,4467.067489,0.200395
,4468.069964,0.124247
,4469.072415,0.063592
,4470.074846,0.02791
,4471.07726,0.01078
,4472.079659,0.003733
a04+rev+CMCT-G,4313.010445,0.1066206
,4314.013061,0.227092
,4315.015624,0.253431
,4316.018146,0.196386
,4317.020638,0.118335
,4318.023104,0.058928
,4319.025549,0.025188
,4320.027976,0.009482
,4321.030387,0.003202
a04+rev-G,4061.810683,0.1261245
,4062.813267,0.247595
,4063.815793,0.256584
,4064.818279,0.185645
,4065.820733,0.104889
,4066.823163,0.049143
,4067.825572,0.019818
,4068.827964,0.007055
,4069.830342,0.002258
a04-G,1070.145718,0.6314809
,1071.148564,0.259199
,1072.150844,0.084316
,1073.153281,0.020049
,1074.155574,0.004101
a05,1527.22043,0.5164859
,1528.223175,0.306742
,1529.225554,0.125627
,1530.227957,0.038542
,1531.230289,0.009885
a05+CMCT,1778.420192,0.4366168
,1779.422991,0.332138
,1780.425512,0.156053
,1781.427984,0.054643
,1782.430402,0.015671
,1783.432792,0.003852
a05+CMCT-G,1627.370783,0.4708286
,1628.373687,0.323452
,1629.376225,0.142344
,1630.378731,0.046903
,1631.381171,0.012743
,1632.383583,0.002977
a05+rev,4518.885395,0.1031628
,4519.887973,0.221443
,4520.890497,0.250572
,4521.892981,0.197756
,4522.895435,0.121783
,4523.897864,0.062155
,4524.900274,0.027293
,4525.902667,0.010576
,4526.905045,0.003683
a05+rev+CMCT,4770.085157,0.0872065
,4771.087765,0.201739
,4772.090322,0.244359
,4773.092841,0.205415
,4774.095329,0.13422
,4775.097792,0.072456
,4776.100235,0.033566
,4777.10266,0.013692
,4778.105069,0.00501
,4779.107466,0.001668
a05+rev+CMCT-G,4619.035747,0.0940384
,4620.038382,0.210611
,4621.04096,0.247558
,4622.043496,0.202303
,4623.046,0.128679
,4624.048478,0.067698
,4625.050933,0.030592
,4626.05337,0.012182
,4627.055792,0.004355
a05+rev-G,4367.835985,0.1112496
,4368.83859,0.2306
,4369.841135,0.25272
,4370.843637,0.19358
,4371.846107,0.11589
,4372.84855,0.057573
,4373.850973,0.024634
,4374.853377,0.00931
,4375.855767,0.003164
a05-G,1376.17102,0.5569669
,1377.173897,0.289722
,1378.176256,0.111641
,1379.178711,0.031938
,1380.18105,0.00775
a06,1872.267865,0.446758
,1873.27057,0.323996
,1874.272981,0.153498
,1875.275381,0.054515
,1876.277726,0.01603
,1877.280053,0.00406
a06+CMCT,2123.467627,0.3776604
,2124.470386,0.336881
,2125.472909,0.18115
,2126.475377,0.072237
,2127.477796,0.023486
,2128.480185,0.00653
a06+CMCT-G,1972.418217,0.407263
,1973.421061,0.333262
,1974.423606,0.168972
,1975.426102,0.063883
,1976.42854,0.019799
,1977.430949,0.005264
a06+rev,4863.93283,0.0892268
,4864.935405,0.203246
,4865.937927,0.243869
,4866.94041,0.203977
,4867.942863,0.133074
,4868.945293,0.071929
,4869.947703,0.033442
,4870.950096,0.013718
,4871.952475,0.005057
,4872.954842,0.001698
a06+rev+CMCT,5115.132592,0.0754314
,5116.135196,0.184404
,5117.137749,0.235965
,5118.140265,0.2095
,5119.142751,0.144551
,5120.145212,0.08239
,5121.147654,0.040294
,5122.150077,0.017351
,5123.152486,0.006702
,5124.154882,0.002355
a06+rev+CMCT-G,4964.083182,0.0813392
,4965.08581,0.19285
,4966.088384,0.239867
,4967.090916,0.207352
,4968.093417,0.139482
,4969.095892,0.077591
,4970.098346,0.037068
,4971.100781,0.015604
,4972.103201,0.005896
,4973.105606,0.002028
a06+rev-G,4712.88342,0.0962212
,4713.88602,0.212084
,4714.888562,0.246922
,4715.891062,0.200802
,4716.89353,0.127563
,4717.895973,0.067222
,4718.898395,0.030501
,4719.9008,0.012221
,4720.903189,0.004403
a06-G,1721.218455,0.4817703
,1722.22126,0.313869
,1723.223673,0.140249
,1724.226108,0.04696
,1725.228467,0.013138
,1726.230815,0.003172
a07,2217.315299,0.3864423
,2218.317977,0.330999
,2219.320409,0.178217
,2220.322811,0.0717
,2221.325166,0.02372
,2222.327499,0.006742
a07+CMCT,2468.515062,0.3266745
,2469.51779,0.334297
,2470.520316,0.202264
,2471.522782,0.090289
,2472.525202,0.032728
,2473.527592,0.010121
,2474.529959,0.002755
a07+CMCT-G,2317.465652,0.3522744
,2318.468451,0.334523
,2319.471,0.191888
,2320.473491,0.081664
,2321.47593,0.028353
,2322.478337,0.008422
,2323.48072,0.002207
a07+rev,5208.980264,0.0771841
,5209.982837,0.18595
,5210.985357,0.235767
,5211.98784,0.208248
,5212.990293,0.1434
,5213.992723,0.08178
,5214.995134,0.040105
,5215.997528,0.017348
,5216.999908,0.006742
,5218.002275,0.002387
a07+rev+CMCT,5460.180027,0.0652447
,5461.182626,0.168069
,5462.185177,0.226502
,5463.187691,0.211718
,5464.190175,0.15375
,5465.192635,0.092213
,5466.195076,0.047447
,5467.197499,0.021492
,5468.199907,0.008732
,5469.202302,0.003227
a07+rev+CMCT-G,5309.130617,0.0703621
,5310.13324,0.176063
,5311.135809,0.230975
,5312.138339,0.210499
,5313.140837,0.14923
,5314.14331,0.087463
,5315.145762,0.044015
,5316.148196,0.019514
,5317.150615,0.007765
,5318.153019,0.002812
a07+rev-G,5057.930855,0.0832273
,5058.933451,0.194373
,5059.93599,0.239527
,5060.938489,0.206015
,5061.940956,0.138337
,5062.943399,0.077022
,5063.945821,0.036911
,5064.948225,0.015615
,5065.950615,0.00594
,5066.952992,0.002059
a07-G,2066.26589,0.4167228
,2067.268648,0.326213
,2068.271092,0.166281
,2069.273521,0.063529
,2070.275891,0.02009
,2071.278241,0.005472
a08,2562.362734,0.3342726
,2563.365391,0.330209
,2564.367838,0.199229
,2565.370244,0.089394
,2566.372607,0.032803
,2567.374946,0.010314
,2568.377266,0.002864
a08+CMCT,2813.562497,0.2825734
,2814.565202,0.326273
,2815.567729,0.219248
,2816.570195,0.108156
,2817.572617,0.043167
,2818.575009,0.014665
,2819.577378,0.004377
a08+CMCT-G,2662.513087,0.3047116
,2663.515853,0.32937
,2664.518403,0.21079
,2665.520892,0.099568
,2666.523331,0.038207
,2667.525739,0.012513
,2668.528123,0.003608
a08+rev,5554.027699,0.0667638
,5555.030269,0.169612
,5556.032788,0.226551
,5557.035271,0.210655
,5558.037725,0.152619
,5559.040155,0.091535
,5560.042566,0.047191
,5561.044961,0.021455
,5562.047342,0.008762
,5563.049711,0.003259
a08+rev+CMCT,5805.227462,0.0564396
,5806.230057,0.152798
,5807.232606,0.216288
,5808.235117,0.212248
,5809.237601,0.16176
,5810.24006,0.101787
,5811.2425,0.054935
,5812.244923,0.026097
,5813.247331,0.011118
,5814.249726,0.004308
a08+rev+CMCT-G,5654.178052,0.0608631
,5655.180669,0.160287
,5656.183235,0.221152
,5657.185763,0.211855
,5658.188259,0.157806
,5659.190731,0.097146
,5660.193182,0.051335
,5661.195615,0.023894
,5662.198033,0.00998
,5663.200437,0.003793
a08+rev-G,5402.978289,0.0719919
,5403.980882,0.177587
,5404.983419,0.23088
,5405.985917,0.209327
,5406.988384,0.148077
,5407.990826,0.08681
,5408.993248,0.043787
,5409.995653,0.019492
,5410.998044,0.007799
,5412.000421,0.002844
a08-G,2411.313324,0.3604632
,2412.316049,0.329506
,2413.318512,0.188946
,2414.320941,0.080935
,2415.323319,0.028501
,2416.325674,0.008623
,2417.328007,0.00231
a09,2867.404021,0.2944278
,2868.406692,0.32415
,2869.409166,0.214327
,2870.41159,0.104994
,2871.413972,0.041921
,2872.416328,0.014315
,2873.418663,0.004311
a09+CMCT,3118.603783,0.2488949
,3119.606497,0.315537
,3120.60904,0.230652
,3121.611521,0.123364
,3122.613957,0.053261
,3123.616362,0.019545
,3124.618743,0.006294
a09+CMCT-G,2967.554374,0.268404
,2968.557142,0.320482
,2969.559709,0.223912
,2970.562211,0.115051
,2971.564663,0.047896
,2972.567083,0.016989
,2973.569478,0.005299
a09+rev,5859.068986,0.058805
,5860.071565,0.156044
,5861.074094,0.21763
,5862.076586,0.211237
,5863.079048,0.159723
,5864.081487,0.099963
,5865.083906,0.053772
,5866.086309,0.025505
,5867.088697,0.010866
,5868.091073,0.004216
a09+rev+CMCT,6110.268748,0.0497115
,6111.271352,0.140206
,6112.273908,0.206731
,6113.276428,0.211303
,6114.278918,0.167723
,6115.281384,0.109913
,6116.283831,0.061778
,6117.28626,0.030562
,6118.288675,0.013559
,6119.291076,0.005471
,6120.293466,0.00203
a09+rev+CMCT-G,5959.219338,0.0536061
,5960.221964,0.147238
,5961.224537,0.211834
,5962.227071,0.211575
,5963.229574,0.164295
,5964.232052,0.10543
,5965.23451,0.058073
,5966.236949,0.028174
,5967.239373,0.012265
,5968.241783,0.004859
,5969.244181,0.001771
a09+rev-G,5708.019576,0.0634134
,5709.022177,0.163598
,5710.024724,0.222342
,5711.02723,0.210661
,5712.029705,0.15569
,5713.032155,0.09534
,5714.034585,0.050224
,5715.036998,0.023347
,5716.039395,0.009754
,5717.04178,0.003713
a09-G,2716.354611,0.3175027
,2717.357344,0.326146
,2718.359835,0.20567
,2719.362281,0.09655
,2720.364677,0.037109
,2721.367048,0.01223
,2722.369396,0.003562
a10,3212.451456,0.25468
,3213.454111,0.313832
,3214.456592,0.227907
,3215.459021,0.12199
,3216.461409,0.052998
,3217.46377,0.019642
,3218.466111,0.006407
,3219.468435,0.001879
a10+CMCT,3463.651218,0.2152941
,3464.653914,0.301211
,3465.656457,0.240168
,3466.658938,0.139481
,3467.661375,0.065185
,3468.663783,0.025838
,3469.666167,0.008974
,3470.668532,0.002792
a10+CMCT-G,3312.601808,0.2321637
,3313.604553,0.307696
,3314.607119,0.235272
,3315.609619,0.131654
,3316.612073,0.059481
,3317.614494,0.022845
,3318.616891,0.007702
,3319.619268,0.002329
a10+rev,6204.116421,0.0508638
