fragment,mass,Intensities
,3909.524263,0.077121
,3910.526693,0.033265
,3911.529098,0.012606
,3912.531483,0.004288
a14,4361.604641,0.1570788
,4362.607367,0.261115
,4363.609938,0.246703
,4364.612444,0.169583
,4365.614905,0.093743
,4366.617334,0.043936
,4367.619738,0.018041
,4368.622123,0.006635
,4369.624491,0.002221
a14+DEPC+H2O-CO,4423.64142,0.1528601
,4424.644157,0.257657
,4425.646737,0.246637
,4426.64925,0.171707
,4427.651718,0.096109
,4428.654153,0.045603
,4429.656564,0.018956
,4430.658954,0.007057
,4431.661328,0.002391
a14+DEPC+H2O-CO-A,4288.586925,0.1644384
,4289.589704,0.265113
,4290.592303,0.245486
,4291.594832,0.166076
,4292.597312,0.090618
,4293.599759,0.042009
,4294.602179,0.017089
,4295.604578,0.006235
,4296.60696,0.002072
a14+DEPC+H2O-CO-Eth,4377.599556,0.1566974
,4378.602282,0.260541
,4379.604852,0.246525
,4380.607357,0.1698
,4381.609817,0.094085
,4382.612245,0.044212
,4383.614648,0.018206
,4384.617032,0.006716
,4385.619399,0.002255
a14+DEPC+H2O-CO-G,4272.592011,0.1648386
,4273.594789,0.265695
,4274.597389,0.245644
,4275.599919,0.165841
,4276.602401,0.090271
,4277.604848,0.041736
,4278.607269,0.01693
,4279.609669,0.006158
,4280.612052,0.00204
a14-A,4226.550146,0.1689721
,4227.552915,0.268493
,4228.555504,0.245292
,4229.558026,0.163792
,4230.560499,0.088237
,4231.562939,0.040394
,4232.565353,0.016229
,4233.567747,0.005848
,4234.570124,0.00192
a14-G,4210.555231,0.1693834
,4211.558,0.269082
,4212.560591,0.245439
,4213.563113,0.163545
,4214.565588,0.087886
,4215.568029,0.040123
,4216.570444,0.016073
,4217.572838,0.005774
,4218.575216,0.00189
a15,4706.652076,0.1358712
,4707.654787,0.243703
,4708.657357,0.246092
,4709.659864,0.180056
,4710.662327,0.105641
,4711.664758,0.052447
,4712.667164,0.022777
,4713.669552,0.00885
,4714.671923,0.003126
a15+DEPC+H2O-CO,4768.688855,0.1322204
,4769.691576,0.24023
,4770.694155,0.245557
,4771.696669,0.181808
,4772.699138,0.107919
,4773.701576,0.054197
,4774.703988,0.023807
,4775.706381,0.009355
,4776.708757,0.003342
a15+DEPC+H2O-CO-A,4633.63436,0.1422343
,4634.63712,0.247992
,4635.639717,0.245631
,4636.642246,0.176971
,4637.644727,0.102523
,4638.647175,0.050355
,4639.649597,0.021667
,4640.651999,0.008351
,4641.654383,0.00293
a15+DEPC+H2O-CO-Eth,4722.64699,0.1355412
,4723.649702,0.243163
,4724.652271,0.245866
,4725.654777,0.180211
,4726.657239,0.105957
,4727.659669,0.052728
,4728.662075,0.022958
,4729.664461,0.008944
,4730.666832,0.003169
a15+DEPC+H2O-CO-G,4617.639445,0.1425805
,4618.642205,0.248541
,4619.644803,0.245841
,4620.647333,0.176798
,4621.649815,0.1022
,4622.652264,0.050075
,4623.654687,0.021491
,4624.657089,0.008261
,4625.659474,0.002889
a15-A,4571.597581,0.1461632
,4572.600331,0.251443
,4573.60292,0.245947
,4574.605441,0.175057
,4575.607916,0.100213
,4576.610358,0.048646
,4577.612774,0.020691
,4578.61517,0.007884
,4579.617549,0.002734
a15-G,4555.602666,0.146519
,4556.605416,0.252
,4557.608006,0.246149
,4558.610528,0.174871
,4559.613004,0.099885
,4560.615447,0.048367
,4561.617864,0.020518
,4562.62026,0.007796
,4563.62264,0.002696
a16,5051.69951,0.1175321
,5052.702209,0.226243
,5053.704778,0.243186
,5054.707286,0.188676
,5055.70975,0.117079
,5056.712183,0.061361
,5057.714593,0.028092
,5058.716982,0.011493
,5059.719356,0.004271
a16+DEPC+H2O-CO,5113.73629,0.1143637
,5114.738998,0.222804
,5115.741575,0.242236
,5116.744089,0.19004
,5117.74656,0.11922
,5118.749,0.06316
,5119.751414,0.029226
,5120.753809,0.012084
,5121.756188,0.004539
a16+DEPC+H2O-CO-A,4978.681795,0.1230398
,4979.684538,0.230682
,4980.687134,0.243404
,4981.689662,0.186056
,4982.692145,0.114035
,4983.694595,0.059139
,4984.697019,0.026828
,4985.699422,0.010889
,4986.701808,0.004018
a16+DEPC+H2O-CO-Eth,5067.694425,0.1172467
,5068.697124,0.225739
,5069.699693,0.242923
,5070.702199,0.188774
,5071.704663,0.117365
,5072.707095,0.061643
,5073.709504,0.028286
,5074.711893,0.011601
,5075.714265,0.004323
a16+DEPC+H2O-CO-G,4962.68688,0.1233394
,4963.689623,0.231197
,4964.692219,0.243655
,4965.694749,0.185941
,4966.697233,0.113741
,4967.699683,0.058857
,4968.702108,0.026638
,4969.704512,0.010784
,4970.706899,0.003969
a16-A,4916.645015,0.1264302
,4917.647749,0.234099
,4918.650337,0.24413
,4919.652859,0.184498
,4920.655335,0.111825
,4921.657779,0.057358
,4922.660197,0.025739
,4923.662595,0.010335
,4924.664976,0.003773
a16-G,4900.650101,0.126738
,4901.652834,0.23462
,4902.655423,0.244374
,4903.657946,0.184372
,4904.660423,0.111526
,4905.662867,0.057077
,4906.665286,0.025551
,4907.667685,0.010233
,4908.670067,0.003726
a17,5396.746945,0.1016625
,5397.749633,0.209045
,5398.752201,0.238321
,5399.754709,0.19542
,5400.757175,0.127853
,5401.75961,0.070524
,5402.762022,0.033936
,5403.764414,0.014577
,5404.766791,0.005683
,5405.769153,0.002036
a17+DEPC+H2O-CO,5458.783725,0.0989315
,5459.786421,0.205729
,5460.788997,0.23707
,5461.791511,0.196438
,5462.793984,0.129847
,5463.796425,0.072355
,5464.798842,0.035169
,5465.80124,0.015258
,5466.803621,0.006008
,5467.805988,0.002174
a17+DEPC+H2O-CO-A,5323.729229,0.1064182
,5324.731958,0.213493
,5325.734552,0.239102
,5326.737081,0.193259
,5327.739565,0.124926
,5328.742016,0.068202
,5329.744442,0.032525
,5330.746847,0.013861
,5331.749236,0.005366
,5332.75161,0.00191
a17+DEPC+H2O-CO-Eth,5412.74186,0.1014156
,5413.744548,0.208576
,5414.747115,0.23803
,5415.749622,0.195464
,5416.752088,0.128105
,5417.754523,0.070802
,5418.756933,0.034142
,5419.759325,0.014699
,5420.761701,0.005744
,5421.764063,0.002063
a17+DEPC+H2O-CO-G,5307.734315,0.1066773
,5308.737043,0.213972
,5309.739638,0.239383
,5310.742167,0.193199
,5311.744652,0.124665
,5312.747104,0.067924
,5313.749531,0.032322
,5314.751937,0.013743
,5315.754326,0.005308
,5316.756701,0.001885
a17-A,5261.69245,0.1093574
,5262.69517,0.216847
,5263.697756,0.240198
,5264.700278,0.192078
,5265.702756,0.122866
,5266.705201,0.066387
,5267.707622,0.031337
,5268.710022,0.01322
,5269.712406,0.005067
,5270.714776,0.001786
a17-G,5245.697535,0.1096236
,5246.700255,0.217333
,5247.702842,0.240474
,5248.705365,0.192008
,5249.707843,0.122599
,5250.71029,0.066108
,5251.712711,0.031136
,5252.715112,0.013105
,5253.717496,0.00501
,5254.719867,0.001761
a18,5702.772248,0.0896642
,5703.77495,0.194211
,5704.777535,0.232386
,5705.780058,0.199629
,5706.782539,0.136655
,5707.784988,0.078798
,5708.787413,0.039608
,5709.789818,0.017763
,5710.792206,0.007227
,5711.79458,0.002701
a18+DEPC+H2O-CO,5764.809027,0.0872565
,5765.811738,0.191025
,5766.81433,0.230912
,5767.81686,0.20034
,5768.819346,0.138483
,5769.821801,0.080623
,5770.824231,0.040913
,5771.82664,0.018522
,5772.829033,0.007606
,5773.831412,0.002869
a18+DEPC+H2O-CO-A,5629.754532,0.0938636
,5630.757274,0.198605
,5631.759884,0.233609
,5632.762427,0.197904
,5633.764925,0.133895
,5634.76739,0.076431
,5635.769828,0.038081
,5636.772246,0.016945
,5637.774646,0.006846
,5638.777031,0.002543
