ion,mass,Intensities,,,mass,Intensities,,,,,,Intensities,,,,,
,4025.574852,0.279146,,,4024.572182,0.1815537,,,,,,0.1815537,,,,,
,4026.577374,0.245226,,,4025.574852,0.27905,,,,,,0.27905,,,,,
,4027.579838,0.157095,,,4026.577374,0.245205,,,,,,0.245205,,,,,
,4028.58226,0.081055,,,4027.579837,0.157137,,,,,,0.157137,,,,,
,4029.584653,0.035496,,,4028.582259,0.081112,,,,,,0.081112,,,,,
,4030.587024,0.01363,,,4029.584652,0.035538,,,,,,0.035538,,,,,
,4031.589377,0.00469,,,4030.587023,0.013653,,,,,,0.013653,,,,,
y14,4481.646894,0.1485442,,,4031.589376,0.004701,,,,,,0.004701,,,,,
,4482.649548,0.255563,,,4481.646894,0.1484877,,,,,,0.1484877,,,,,
,4483.652073,0.247566,,,4482.649548,0.255466,,,,,,0.255466,,,,,
,4484.654541,0.173771,,,4483.652073,0.247528,,,,,,0.247528,,,,,
,4485.656968,0.097811,,,4484.65454,0.173802,,,,,,0.173802,,,,,
,4486.659367,0.046585,,,4485.656967,0.097868,,,,,,0.097868,,,,,
,4487.661744,0.019409,,,4486.659366,0.046634,,,,,,0.046634,,,,,
,4488.664102,0.007234,,,4487.661743,0.019438,,,,,,0.019438,,,,,
,4489.666447,0.002451,,,4488.664101,0.007249,,,,,,0.007249,,,,,
y14-A,4346.592399,0.1597959,,,4489.666445,0.002458,,,,,,0.002458,,,,,
,4347.595091,0.263201,,,4346.592399,0.159735,,,,,,0.159735,,,,,
,4348.597635,0.246637,,,4347.595091,0.263101,,,,,,0.263101,,,,,
,4349.600117,0.168217,,,4348.597634,0.246604,,,,,,0.246604,,,,,
,4350.602557,0.092289,,,4349.600116,0.168253,,,,,,0.168253,,,,,
,4351.604966,0.042938,,,4350.602556,0.092348,,,,,,0.092348,,,,,
,4352.607352,0.017504,,,4351.604965,0.042985,,,,,,0.042985,,,,,
,4353.60972,0.006393,,,4352.607351,0.017533,,,,,,0.017533,,,,,
,4354.612073,0.002125,,,4353.609719,0.006406,,,,,,0.006406,,,,,
y14-G,4330.597485,0.1601849,,,4354.612071,0.002131,,,,,,0.002131,,,,,
,4331.600176,0.263781,,,4330.597485,0.1601245,,,,,,0.1601245,,,,,
,4332.602721,0.246808,,,4331.600176,0.263681,,,,,,0.263681,,,,,
,4333.605204,0.16799,,,4332.60272,0.246775,,,,,,0.246775,,,,,
,4334.607644,0.091943,,,4333.605203,0.168027,,,,,,0.168027,,,,,
,4335.610055,0.042662,,,4334.607644,0.092001,,,,,,0.092001,,,,,
,4336.612442,0.017342,,,4335.610054,0.042709,,,,,,0.042709,,,,,
,4337.614811,0.006314,,,4336.612441,0.01737,,,,,,0.01737,,,,,
,4338.617164,0.002092,,,4337.614809,0.006328,,,,,,0.006328,,,,,
y15,4786.688181,0.1308409,,,4338.617162,0.002098,,,,,,0.002098,,,,,
,4787.690844,0.239904,,,4786.688181,0.1307874,,,,,,0.1307874,,,,,
,4788.693382,0.246166,,,4787.690844,0.239806,,,,,,0.239806,,,,,
,4789.695862,0.18251,,,4788.693382,0.246119,,,,,,0.246119,,,,,
,4790.698302,0.108301,,,4789.695862,0.182533,,,,,,0.182533,,,,,
,4791.700712,0.054305,,,4790.698301,0.108358,,,,,,0.108358,,,,,
,4792.7031,0.023795,,,4791.700711,0.054357,,,,,,0.054357,,,,,
,4793.705469,0.00932,,,4792.703099,0.023829,,,,,,0.023829,,,,,
,4794.707823,0.003316,,,4793.705468,0.009338,,,,,,0.009338,,,,,
y15-A,4651.633686,0.1407516,,,4794.707822,0.003325,,,,,,0.003325,,,,,
,4652.636384,0.247753,,,4651.633686,0.140694,,,,,,0.140694,,,,,
,4653.638941,0.246309,,,4652.636384,0.247652,,,,,,0.247652,,,,,
,4654.641436,0.177679,,,4653.638941,0.246266,,,,,,0.246266,,,,,
,4655.643887,0.102881,,,4654.641435,0.177707,,,,,,0.177707,,,,,
,4656.646308,0.050443,,,4655.643887,0.10294,,,,,,0.10294,,,,,
,4657.648705,0.021647,,,4656.646307,0.050495,,,,,,0.050495,,,,,
,4658.651083,0.008314,,,4657.648704,0.02168,,,,,,0.02168,,,,,
,4659.653445,0.002905,,,4658.651082,0.008331,,,,,,0.008331,,,,,
y15-G,4635.638771,0.1410942,,,4659.653444,0.002912,,,,,,0.002912,,,,,
,4636.641469,0.248302,,,4635.638771,0.1410371,,,,,,0.1410371,,,,,
,4637.644027,0.246524,,,4636.641469,0.248202,,,,,,0.248202,,,,,
,4638.646523,0.177507,,,4637.644027,0.246482,,,,,,0.246482,,,,,
,4639.648975,0.102558,,,4638.646522,0.177536,,,,,,0.177536,,,,,
,4640.651397,0.050162,,,4639.648974,0.102616,,,,,,0.102616,,,,,
,4641.653794,0.02147,,,4640.651396,0.050213,,,,,,0.050213,,,,,
,4642.656173,0.008223,,,4641.653793,0.021503,,,,,,0.021503,,,,,
,4643.658536,0.002864,,,4642.656172,0.00824,,,,,,0.00824,,,,,
y16,5131.735616,0.1131762,,,4643.658535,0.002872,,,,,,0.002872,,,,,
,5132.738269,0.222376,,,5131.735616,0.1131267,,,,,,0.1131267,,,,,
,5133.740808,0.242711,,,5132.738269,0.222279,,,,,,0.222279,,,,,
,5134.74329,0.190717,,,5133.740808,0.242655,,,,,,0.242655,,,,,
,5135.745732,0.119647,,,5134.743289,0.190731,,,,,,0.190731,,,,,
,5136.748145,0.063314,,,5135.745731,0.119701,,,,,,0.119701,,,,,
,5137.750536,0.029238,,,5136.748144,0.06337,,,,,,0.06337,,,,,
,5138.752908,0.012056,,,5137.750535,0.029277,,,,,,0.029277,,,,,
,5139.755266,0.004512,,,5138.752907,0.012078,,,,,,0.012078,,,,,
y16-A,4996.681121,0.1217488,,,5139.755265,0.004523,,,,,,0.004523,,,,,
,4997.683807,0.230291,,,4996.681121,0.1216956,,,,,,0.1216956,,,,,
,4998.686364,0.243918,,,4997.683807,0.230191,,,,,,0.230191,,,,,
,4999.68886,0.186725,,,4998.686364,0.243865,,,,,,0.243865,,,,,
,5000.691313,0.11443,,,4999.688859,0.186744,,,,,,0.186744,,,,,
,5001.693737,0.059266,,,5000.691313,0.114486,,,,,,0.114486,,,,,
,5002.696137,0.026827,,,5001.693736,0.059322,,,,,,0.059322,,,,,
,5003.698517,0.010856,,,5002.696135,0.026865,,,,,,0.026865,,,,,
,5004.700883,0.003992,,,5003.698516,0.010877,,,,,,0.010877,,,,,
y16-G,4980.686206,0.1220452,,,5004.700881,0.004002,,,,,,0.004002,,,,,
,4981.688892,0.230805,,,4980.686206,0.1219924,,,,,,0.1219924,,,,,
,4982.69145,0.244173,,,4981.688892,0.230705,,,,,,0.230705,,,,,
,4983.693946,0.186612,,,4982.691449,0.244121,,,,,,0.244121,,,,,
,4984.696401,0.114136,,,4983.693946,0.186632,,,,,,0.186632,,,,,
,4985.698825,0.058984,,,4984.6964,0.114192,,,,,,0.114192,,,,,
,4986.701225,0.026636,,,4985.698824,0.059039,,,,,,0.059039,,,,,
,4987.703607,0.010751,,,4986.701224,0.026673,,,,,,0.026673,,,,,
,4988.705973,0.003943,,,4987.703606,0.010772,,,,,,0.010772,,,,,
y17,5436.776903,0.099688,,,4988.705972,0.003953,,,,,,0.003953,,,,,
,5437.779564,0.207149,,,5436.776903,0.0996416,,,,,,0.0996416,,,,,
,5438.782114,0.237954,,,5437.779564,0.207053,,,,,,0.207053,,,,,
,5439.784607,0.196306,,,5438.782114,0.23789,,,,,,0.23789,,,,,
,5440.78706,0.129079,,,5439.784607,0.196311,,,,,,0.196311,,,,,
,5441.789483,0.071504,,,5440.787059,0.129129,,,,,,0.129129,,,,,
,5442.791884,0.034533,,,5441.789483,0.071562,,,,,,0.071562,,,,,
,5443.794266,0.014881,,,5442.791883,0.034577,,,,,,0.034577,,,,,
,5444.796633,0.005817,,,5443.794265,0.014907,,,,,,0.014907,,,,,
,5445.798986,0.002089,,,5444.796631,0.005831,,,,,,0.005831,,,,,
y17-A,5301.722407,0.1072389,,,5445.798985,0.002095,,,,,,0.002095,,,,,
,5302.7251,0.214975,,,5301.722407,0.1071891,,,,,,0.1071891,,,,,
,5303.727668,0.239958,,,5302.7251,0.214875,,,,,,0.214875,,,,,
,5304.730175,0.193064,,,5303.727668,0.239897,,,,,,0.239897,,,,,
,5305.732639,0.124121,,,5304.730174,0.193074,,,,,,0.193074,,,,,
,5306.735072,0.067351,,,5305.732638,0.124175,,,,,,0.124175,,,,,
,5307.737482,0.031908,,,5306.735072,0.067409,,,,,,0.067409,,,,,
,5308.739872,0.013503,,,5307.737481,0.031951,,,,,,0.031951,,,,,
,5309.742246,0.005189,,,5308.739871,0.013528,,,,,,0.013528,,,,,
,5310.744607,0.001834,,,5309.742245,0.005202,,,,,,0.005202,,,,,
y17-G,5285.727493,0.1075,,,5310.744605,0.001839,,,,,,0.001839,,,,,
,5286.730185,0.215457,,,5285.727493,0.1074504,,,,,,0.1074504,,,,,
,5287.732754,0.24024,,,5286.730185,0.215358,,,,,,0.215358,,,,,
,5288.735261,0.193,,,5287.732754,0.240179,,,,,,0.240179,,,,,
,5289.737726,0.123856,,,5288.735261,0.19301,,,,,,0.19301,,,,,
,5290.74016,0.067071,,,5289.737725,0.12391,,,,,,0.12391,,,,,
,5291.742571,0.031706,,,5290.74016,0.067129,,,,,,0.067129,,,,,
,5292.744962,0.013386,,,5291.74257,0.031748,,,,,,0.031748,,,,,
,5293.747336,0.005132,,,5292.74496,0.013411,,,,,,0.013411,,,,,
,5294.749698,0.001809,,,5293.747335,0.005144,,,,,,0.005144,,,,,
y18,5765.829423,0.0864391,,,5294.749696,0.001814,,,,,,0.001814,,,,,
,5766.832076,0.190936,,,5765.829423,0.0863968,,,,,,0.0863968,,,,,
,5767.834626,0.231598,,,5766.832076,0.190842,,,,,,0.190842,,,,,
,5768.83712,0.201034,,,5767.834626,0.231527,,,,,,0.231527,,,,,
,5769.839576,0.138747,,,5768.83712,0.201029,,,,,,0.201029,,,,,
,5770.842003,0.080528,,,5769.839576,0.138792,,,,,,0.138792,,,,,
,5771.844407,0.04069,,,5770.842002,0.080587,,,,,,0.080587,,,,,
,5772.846792,0.018324,,,5771.844406,0.040738,,,,,,0.040738,,,,,
,5773.849163,0.007479,,,5772.846791,0.018354,,,,,,0.018354,,,,,
,5774.851519,0.002802,,,5773.849161,0.007495,,,,,,0.007495,,,,,
y18-A,5630.774928,0.0929865,,,5774.851518,0.00281,,,,,,0.00281,,,,,
,5631.77761,0.198579,,,5630.774928,0.092941,,,,,,0.092941,,,,,
,5632.780177,0.234357,,,5631.77761,0.198481,,,,,,0.198481,,,,,
,5633.782685,0.198601,,,5632.780177,0.234288,,,,,,0.234288,,,,,
,5634.785152,0.134129,,,5633.782685,0.198601,,,,,,0.198601,,,,,
,5635.787588,0.076311,,,5634.785151,0.134178,,,,,,0.134178,,,,,
,5636.790001,0.03785,,,5635.787588,0.076371,,,,,,0.076371,,,,,
,5637.792394,0.01675,,,5636.79,0.037897,,,,,,0.037897,,,,,
,5638.794772,0.006725,,,5637.792393,0.016779,,,,,,0.016779,,,,,
,5639.797136,0.00248,,,5638.79477,0.00674,,,,,,0.00674,,,,,
y18-G,5614.780013,0.0932129,,,5639.797134,0.002487,,,,,,0.002487,,,,,
,5615.782695,0.199026,,,5614.780013,0.0931676,,,,,,0.0931676,,,,,
,5616.785263,0.23466,,,5615.782695,0.19893,,,,,,0.19893,,,,,
,5617.787771,0.198586,,,5616.785263,0.234592,,,,,,0.234592,,,,,
,5618.790239,0.133898,,,5617.787771,0.198587,,,,,,0.198587,,,,,
,5619.792676,0.076038,,,5618.790238,0.133947,,,,,,0.133947,,,,,
,5620.795089,0.037638,,,5619.792675,0.076097,,,,,,0.076097,,,,,
,5621.797484,0.01662,,,5620.795088,0.037685,,,,,,0.037685,,,,,
,5622.799862,0.006657,,,5621.797482,0.016649,,,,,,0.016649,,,,,
,5623.802226,0.002449,,,5622.79986,0.006672,,,,,,0.006672,,,,,
y19,6110.876858,0.074769,,,5623.802224,0.002456,,,,,,0.002456,,,,,
,6111.879503,0.174976,,,6110.876858,0.0747303,,,,,,0.0747303,,,,,
,6112.882053,0.223689,,,6111.879503,0.174885,,,,,,0.174885,,,,,
,6113.884548,0.204055,,,6112.882053,0.223612,,,,,,0.223612,,,,,
,6114.887006,0.147704,,,6113.884548,0.20404,,,,,,0.20404,,,,,
,6115.889435,0.089776,,,6114.887006,0.147744,,,,,,0.147744,,,,,
,6116.891842,0.047451,,,6115.889434,0.089835,,,,,,0.089835,,,,,
,6117.89423,0.022331,,,6116.891841,0.047502,,,,,,0.047502,,,,,
,6118.896603,0.009518,,,6117.894229,0.022366,,,,,,0.022366,,,,,
,6119.898963,0.003721,,,6118.896602,0.009537,,,,,,0.009537,,,,,
y19-A,5975.822362,0.0804325,,,6119.898961,0.003731,,,,,,0.003731,,,,,
,5976.825035,0.18233,,,5975.822362,0.0803909,,,,,,0.0803909,,,,,
,5977.827602,0.227071,,,5976.825035,0.182236,,,,,,0.182236,,,,,
,5978.83011,0.202423,,,5977.827601,0.226995,,,,,,0.226995,,,,,
,5979.832579,0.143502,,,5978.83011,0.202413,,,,,,0.202413,,,,,
,5980.835017,0.085564,,,5979.832578,0.143546,,,,,,0.143546,,,,,
,5981.837432,0.044422,,,5980.835016,0.085624,,,,,,0.085624,,,,,
,5982.839828,0.020556,,,5981.837431,0.044473,,,,,,0.044473,,,,,
,5983.842208,0.008623,,,5982.839827,0.02059,,,,,,0.02059,,,,,
,5984.844575,0.00332,,,5983.842207,0.008641,,,,,,0.008641,,,,,
y19-G,5959.827448,0.0806283,,,5984.844573,0.003329,,,,,,0.003329,,,,,
,5960.83012,0.182744,,,5959.827448,0.0805869,,,,,,0.0805869,,,,,
,5961.832687,0.227388,,,5960.83012,0.18265,,,,,,0.18265,,,,,
,5962.835196,0.202454,,,5961.832687,0.227313,,,,,,0.227313,,,,,
,5963.837666,0.143308,,,5962.835196,0.202444,,,,,,0.202444,,,,,
,5964.840105,0.085302,,,5963.837665,0.143351,,,,,,0.143351,,,,,
,5965.84252,0.044203,,,5964.840104,0.085362,,,,,,0.085362,,,,,
,5966.844917,0.020414,,,5965.842519,0.044254,,,,,,0.044254,,,,,
,5967.847298,0.008545,,,5966.844916,0.020447,,,,,,0.020447,,,,,
,5968.849665,0.003283,,,5967.847296,0.008563,,,,,,0.008563,,,,,
y20,6416.90216,0.065946,,,5968.849663,0.003292,,,,,,0.003292,,,,,
,6417.904821,0.161563,,,6416.90216,0.0659098,,,,,,0.0659098,,,,,
,6418.907386,0.215669,,,6417.904821,0.161475,,,,,,0.161475,,,,,
,6419.909897,0.205129,,,6418.907386,0.215587,,,,,,0.215587,,,,,
,6420.912368,0.154656,,,6419.909896,0.205105,,,,,,0.205105,,,,,
,6421.914811,0.097835,,,6420.912368,0.154689,,,,,,0.154689,,,,,
,6422.91723,0.053787,,,6421.91481,0.097894,,,,,,0.097894,,,,,
,6423.91963,0.026317,,,6422.917229,0.053842,,,,,,0.053842,,,,,
,6424.922014,0.011657,,,6423.919629,0.026356,,,,,,0.026356,,,,,
,6425.924385,0.004735,,,6424.922013,0.01168,,,,,,0.01168,,,,,
,6426.926744,0.001782,,,6425.924384,0.004747,,,,,,0.004747,,,,,
y20-A,6281.847665,0.0709411,,,6426.926743,0.001787,,,,,,0.001787,,,,,
,6282.850352,0.168598,,,6281.847665,0.0709022,,,,,,0.0709022,,,,,
,6283.852934,0.219472,,,6282.850352,0.168506,,,,,,0.168506,,,,,
,6284.855457,0.204169,,,6283.852934,0.219391,,,,,,0.219391,,,,,
,6285.85794,0.150871,,,6284.855457,0.20415,,,,,,0.20415,,,,,
,6286.860391,0.093689,,,6285.857939,0.150909,,,,,,0.150909,,,,,
,6287.862819,0.050625,,,6286.86039,0.09375,,,,,,0.09375,,,,,
,6288.865226,0.02437,,,6287.862818,0.05068,,,,,,0.05068,,,,,
,6289.867618,0.010629,,,6288.865225,0.024408,,,,,,0.024408,,,,,
,6290.869995,0.004255,,,6289.867616,0.010651,,,,,,0.010651,,,,,
y20-G,6265.85275,0.0711138,,,6290.869993,0.004266,,,,,,0.004266,,,,,
,6266.855437,0.168981,,,6265.85275,0.071075,,,,,,0.071075,,,,,
,6267.85802,0.219796,,,6266.855437,0.168889,,,,,,0.168889,,,,,
,6268.860543,0.204235,,,6267.858019,0.219715,,,,,,0.219715,,,,,
,6269.863026,0.150709,,,6268.860543,0.204216,,,,,,0.204216,,,,,
,6270.865479,0.09344,,,6269.863026,0.150747,,,,,,0.150747,,,,,
,6271.867907,0.050403,,,6270.865478,0.093501,,,,,,0.093501,,,,,
,6272.870315,0.024218,,,6271.867906,0.050458,,,,,,0.050458,,,,,
,6273.872707,0.010543,,,6272.870314,0.024256,,,,,,0.024256,,,,,
,6274.875085,0.004211,,,6273.872706,0.010564,,,,,,0.010564,,,,,
y21,6745.95468,0.0571815,,,6274.875083,0.004222,,,,,,0.004222,,,,,
,6746.957334,0.147578,,,6745.95468,0.0571487,,,,,,0.0571487,,,,,
,6747.959898,0.206506,,,6746.957334,0.147493,,,,,,0.147493,,,,,
,6748.96241,0.205298,,,6747.959898,0.206421,,,,,,0.206421,,,,,
,6749.964883,0.161454,,,6748.962409,0.205266,,,,,,0.205266,,,,,
,6750.967328,0.106374,,,6749.964883,0.16148,,,,,,0.16148,,,,,
,6751.96975,0.060834,,,6750.967327,0.106431,,,,,,0.106431,,,,,
,6752.972153,0.030932,,,6751.969749,0.060892,,,,,,0.060892,,,,,
,6753.97454,0.014227,,,6752.972152,0.030975,,,,,,0.030975,,,,,
,6754.976914,0.005997,,,6753.974539,0.014254,,,,,,0.014254,,,,,
,6755.979276,0.00234,,,6754.976912,0.006011,,,,,,0.006011,,,,,
y21-A,6610.900185,0.0615128,,,6755.979274,0.002346,,,,,,0.002346,,,,,
,6611.902863,0.154245,,,6610.900185,0.0614775,,,,,,0.0614775,,,,,
,6612.905444,0.210691,,,6611.902863,0.154156,,,,,,0.154156,,,,,
,6613.907968,0.20503,,,6612.905444,0.210605,,,,,,0.210605,,,,,
,6614.910452,0.158143,,,6613.907968,0.205001,,,,,,0.205001,,,,,
,6615.912906,0.10234,,,6614.910451,0.158173,,,,,,0.158173,,,,,
,6616.915336,0.057554,,,6615.912905,0.102399,,,,,,0.102399,,,,,
,6617.917746,0.028805,,,6616.915335,0.057612,,,,,,0.057612,,,,,
,6618.92014,0.013052,,,6617.917745,0.028847,,,,,,0.028847,,,,,
,6619.92252,0.005423,,,6618.920139,0.013077,,,,,,0.013077,,,,,
,6620.924888,0.002087,,,6619.922519,0.005436,,,,,,0.005436,,,,,
y21-G,6594.90527,0.0616625,,,6620.924887,0.002093,,,,,,0.002093,,,,,
,6595.907949,0.154597,,,6594.90527,0.0616274,,,,,,0.0616274,,,,,
,6596.91053,0.211018,,,6595.907949,0.154509,,,,,,0.154509,,,,,
,6597.913054,0.205131,,,6596.910529,0.210933,,,,,,0.210933,,,,,
,6598.915539,0.158016,,,6597.913054,0.205102,,,,,,0.205102,,,,,
,6599.917993,0.102108,,,6598.915538,0.158047,,,,,,0.158047,,,,,
,6600.920424,0.057331,,,6599.917992,0.102166,,,,,,0.102166,,,,,
,6601.922835,0.028644,,,6600.920423,0.057388,,,,,,0.057388,,,,,
,6602.925229,0.012955,,,6601.922833,0.028686,,,,,,0.028686,,,,,
,6603.92761,0.005372,,,6602.925228,0.01298,,,,,,0.01298,,,,,
,6604.929978,0.002063,,,6603.927608,0.005386,,,,,,0.005386,,,,,
y22,7075.0072,0.0495819,,,6604.929977,0.00207,,,,,,0.00207,,,,,
,7076.009847,0.134456,,,7075.0072,0.0495523,,,,,,0.0495523,,,,,
,7077.012411,0.19682,,,7076.009847,0.134376,,,,,,0.134376,,,,,
,7078.014923,0.204145,,,7077.012411,0.196732,,,,,,0.196732,,,,,
,7079.017399,0.167184,,,7078.014923,0.204104,,,,,,0.204104,,,,,
,7080.019846,0.114536,,,7079.017398,0.167201,,,,,,0.167201,,,,,
,7081.02227,0.068032,,,7080.019845,0.114589,,,,,,0.114589,,,,,
,7082.024676,0.035895,,,7081.022269,0.068092,,,,,,0.068092,,,,,
,7083.027066,0.017118,,,7082.024675,0.035942,,,,,,0.035942,,,,,
,7084.029442,0.007476,,,7083.027065,0.017148,,,,,,0.017148,,,,,
,7085.031807,0.003021,,,7084.029441,0.007493,,,,,,0.007493,,,,,
y22-A,6939.952705,0.0533375,,,7085.031805,0.003029,,,,,,0.003029,,,,,
,6940.955376,0.140729,,,6939.952705,0.0533057,,,,,,0.0533057,,,,,
,6941.957955,0.201281,,,6940.955376,0.140645,,,,,,0.140645,,,,,
,6942.960479,0.204511,,,6941.957955,0.201193,,,,,,0.201193,,,,,
,6943.962965,0.164367,,,6942.960479,0.204473,,,,,,0.204473,,,,,
,6944.965421,0.110665,,,6943.962964,0.164389,,,,,,0.164389,,,,,
,6945.967853,0.064672,,,6944.96542,0.110721,,,,,,0.110721,,,,,
,6946.970266,0.033602,,,6945.967852,0.064732,,,,,,0.064732,,,,,
,6947.972663,0.015793,,,6946.970265,0.033648,,,,,,0.033648,,,,,
,6948.975046,0.006802,,,6947.972662,0.015822,,,,,,0.015822,,,,,
,6949.977416,0.002712,,,6948.975044,0.006818,,,,,,0.006818,,,,,
y22-G,6923.95779,0.0534674,,,6949.977415,0.002719,,,,,,0.002719,,,,,
,6924.960461,0.141051,,,6923.95779,0.0534356,,,,,,0.0534356,,,,,
,6925.96304,0.201607,,,6924.960461,0.140967,,,,,,0.140967,,,,,
,6926.965565,0.204643,,,6925.96304,0.20152,,,,,,0.20152,,,,,
,6927.968051,0.164275,,,6926.965565,0.204605,,,,,,0.204605,,,,,
,6928.970508,0.110452,,,6927.968051,0.164297,,,,,,0.164297,,,,,
,6929.972941,0.06445,,,6928.970507,0.110507,,,,,,0.110507,,,,,
,6930.975354,0.033433,,,6929.97294,0.06451,,,,,,0.06451,,,,,
,6931.977752,0.015686,,,6930.975353,0.033478,,,,,,0.033478,,,,,
,6932.980135,0.006744,,,6931.97775,0.015715,,,,,,0.015715,,,,,
,6933.982506,0.002684,,,6932.980133,0.006759,,,,,,0.006759,,,,,
y23,7380.048487,0.0436728,,,6933.982504,0.002691,,,,,,0.002691,,,,,
,7381.05114,0.123371,,,7380.048487,0.0436455,,,,,,0.0436455,,,,,
,7382.053712,0.187641,,,7381.05114,0.123294,,,,,,0.123294,,,,,
,7383.056232,0.201895,,,7382.053712,0.187551,,,,,,0.187551,,,,,
,7384.058716,0.171321,,,7383.056232,0.201847,,,,,,0.201847,,,,,
,7385.061171,0.121509,,,7384.058715,0.171332,,,,,,0.171332,,,,,
,7386.063603,0.074667,,,7385.06117,0.121559,,,,,,0.121559,,,,,
,7387.066016,0.040733,,,7386.063602,0.074727,,,,,,0.074727,,,,,
,7388.068413,0.020075,,,7387.066015,0.040783,,,,,,0.040783,,,,,
,7389.070797,0.009057,,,7388.068412,0.020109,,,,,,0.020109,,,,,
,7390.073168,0.003779,,,7389.070795,0.009077,,,,,,0.009077,,,,,
y23-A,7244.993992,0.0469808,,,7390.073167,0.003789,,,,,,0.003789,,,,,
,7245.996668,0.129271,,,7244.993992,0.0469514,,,,,,0.0469514,,,,,
,7246.999254,0.192262,,,7245.996668,0.12919,,,,,,0.12919,,,,,
,7248.001787,0.20278,,,7246.999254,0.192171,,,,,,0.192171,,,,,
,7249.00428,0.168966,,,7248.001786,0.202734,,,,,,0.202734,,,,,
,7250.006744,0.117833,,,7249.00428,0.168981,,,,,,0.168981,,,,,
,7251.009184,0.071273,,,7250.006743,0.117886,,,,,,0.117886,,,,,
,7252.011604,0.038305,,,7251.009183,0.071334,,,,,,0.071334,,,,,
,7253.014008,0.018613,,,7252.011603,0.038355,,,,,,0.038355,,,,,
,7254.016398,0.008284,,,7253.014007,0.018646,,,,,,0.018646,,,,,
,7255.018776,0.003412,,,7254.016396,0.008303,,,,,,0.008303,,,,,
y23-G,7228.999077,0.0470952,,,7255.018774,0.003421,,,,,,0.003421,,,,,
,7230.001753,0.129567,,,7228.999077,0.0470659,,,,,,0.0470659,,,,,
,7231.00434,0.192584,,,7230.001753,0.129487,,,,,,0.129487,,,,,
,7232.006873,0.202934,,,7231.00434,0.192494,,,,,,0.192494,,,,,
,7233.009367,0.168905,,,7232.006872,0.202889,,,,,,0.202889,,,,,
,7234.011831,0.117639,,,7233.009366,0.16892,,,,,,0.16892,,,,,
,7235.014272,0.071055,,,7234.01183,0.117692,,,,,,0.117692,,,,,
,7236.016692,0.03813,,,7235.014271,0.071115,,,,,,0.071115,,,,,
,7237.019097,0.018498,,,7236.016691,0.038179,,,,,,0.038179,,,,,
,7238.021487,0.008219,,,7237.019095,0.01853,,,,,,0.01853,,,,,
,7239.023865,0.003379,,,7238.021486,0.008238,,,,,,0.008238,,,,,
y24,7686.073789,0.0385192,,,7239.023863,0.003388,,,,,,0.003388,,,,,
,7687.076455,0.113039,,,7686.073789,0.0384939,,,,,,0.0384939,,,,,
,7688.07904,0.17828,,,7687.076455,0.112965,,,,,,0.112965,,,,,
,7689.081572,0.198686,,,7688.079039,0.178189,,,,,,0.178189,,,,,
,7690.084068,0.174486,,,7689.081572,0.19863,,,,,,0.19863,,,,,
,7691.086534,0.127994,,,7690.084067,0.174489,,,,,,0.174489,,,,,
,7692.088977,0.081307,,,7691.086533,0.128041,,,,,,0.128041,,,,,
,7693.0914,0.045834,,,7692.088976,0.081368,,,,,,0.081368,,,,,
,7694.093808,0.023334,,,7693.091399,0.045887,,,,,,0.045887,,,,,
,7695.096201,0.010871,,,7694.093806,0.023372,,,,,,0.023372,,,,,
,7696.098582,0.004683,,,7695.096199,0.010894,,,,,,0.010894,,,,,
,7697.100952,0.001881,,,7696.09858,0.004695,,,,,,0.004695,,,,,
y24-A,7551.019294,0.0414369,,,7697.10095,0.001886,,,,,,0.001886,,,,,
,7552.021982,0.118562,,,7551.019294,0.0414097,,,,,,0.0414097,,,,,
,7553.024581,0.182991,,,7552.021982,0.118485,,,,,,0.118485,,,,,
,7554.027126,0.200033,,,7553.024581,0.182898,,,,,,0.182898,,,,,
,7555.029631,0.172595,,,7554.027126,0.19998,,,,,,0.19998,,,,,
,7556.032106,0.124551,,,7555.029631,0.172602,,,,,,0.172602,,,,,
,7557.034557,0.077915,,,7556.032105,0.124601,,,,,,0.124601,,,,,
,7558.036987,0.043289,,,7557.034556,0.077977,,,,,,0.077977,,,,,
,7559.039401,0.021737,,,7558.036986,0.043343,,,,,,0.043343,,,,,
,7560.041801,0.009995,,,7559.0394,0.021774,,,,,,0.021774,,,,,
,7561.044187,0.004252,,,7560.041799,0.010017,,,,,,0.010017,,,,,
,7562.046563,0.001687,,,7561.044185,0.004263,,,,,,0.004263,,,,,
y24-G,7535.024379,0.0415378,,,7562.046561,0.001692,,,,,,0.001692,,,,,
,7536.027067,0.118835,,,7535.024379,0.0415106,,,,,,0.0415106,,,,,
,7537.029667,0.183306,,,7536.027067,0.118758,,,,,,0.118758,,,,,
,7538.032212,0.200206,,,7537.029667,0.183213,,,,,,0.183213,,,,,
,7539.034718,0.172562,,,7538.032212,0.200153,,,,,,0.200153,,,,,
,7540.037193,0.124377,,,7539.034717,0.172569,,,,,,0.172569,,,,,
,7541.039644,0.077703,,,7540.037192,0.124427,,,,,,0.124427,,,,,
,7542.042075,0.04311,,,7541.039643,0.077765,,,,,,0.077765,,,,,
,7543.04449,0.021614,,,7542.042074,0.043163,,,,,,0.043163,,,,,
,7544.046889,0.009923,,,7543.044488,0.021651,,,,,,0.021651,,,,,
,7545.049277,0.004214,,,7544.046888,0.009944,,,,,,0.009944,,,,,
,7546.051653,0.001669,,,7545.049275,0.004225,,,,,,0.004225,,,,,
