ion,mass,Intensities,,,mass,Intensities,,,,,,Intensities,,,,,
,4693.639716,0.178904,,,4693.639716,0.178932,,0,0.00%,,,0.178932,,0.00%,,,
,4694.642158,0.104223,,,4694.642158,0.104281,,0,0.01%,,,0.104281,,0.00%,,,
,4695.644571,0.051386,,,4695.64457,0.051438,,-9.99999E-07,0.01%,,,0.051438,,0.00%,,,
,4696.64696,0.022166,,,4696.646959,0.022199,,-1E-06,0.00%,,,0.022199,,0.00%,,,
,4697.649331,0.008555,,,4697.64933,0.008572,,-9.99999E-07,0.00%,,,0.008572,,0.00%,,,
,4698.651687,0.003002,,,4698.651685,0.00301,,-2E-06,0.00%,,,0.00301,,0.00%,,,
a16,5147.706721,0.113065,,,5147.706721,0.1130147,,0,-0.01%,,,0.1130147,,0.00%,,,
,5148.709385,0.221805,,,5148.709385,0.221706,,0,-0.01%,,,0.221706,,0.00%,,,
,5149.71193,0.242245,,,5149.71193,0.242187,,0,-0.01%,,,0.242187,,0.00%,,,
,5150.714417,0.190685,,,5150.714417,0.190699,,0,0.00%,,,0.190699,,0.00%,,,
,5151.716863,0.11993,,,5151.716863,0.119985,,0,0.01%,,,0.119985,,0.00%,,,
,5152.719281,0.063661,,,5152.71928,0.063717,,-9.99999E-07,0.01%,,,0.063717,,0.00%,,,
,5153.721675,0.029502,,,5153.721674,0.029542,,-9.99999E-07,0.00%,,,0.029542,,0.00%,,,
,5154.724051,0.012212,,,5154.724049,0.012235,,-2E-06,0.00%,,,0.012235,,0.00%,,,
,5155.726411,0.00459,,,5155.72641,0.004601,,-9.99999E-07,0.00%,,,0.004601,,0.00%,,,
a16-A,5012.652226,0.1216292,,,5012.652226,0.1215751,,0,-0.01%,,,0.1215751,,0.00%,,,
,5013.654923,0.229685,,,5013.654923,0.229583,,0,-0.01%,,,0.229583,,0.00%,,,
,5014.657486,0.243461,,,5014.657486,0.243407,,0,-0.01%,,,0.243407,,0.00%,,,
,5015.659987,0.186726,,,5015.659987,0.186745,,0,0.00%,,,0.186745,,0.00%,,,
,5016.662445,0.114735,,,5016.662445,0.114792,,0,0.01%,,,0.114792,,0.00%,,,
,5017.664872,0.059616,,,5017.664872,0.059673,,0,0.01%,,,0.059673,,0.00%,,,
,5018.667276,0.027085,,,5018.667275,0.027124,,-1E-06,0.00%,,,0.027124,,0.00%,,,
,5019.66966,0.011005,,,5019.669658,0.011026,,-2E-06,0.00%,,,0.011026,,0.00%,,,
,5020.672028,0.004064,,,5020.672026,0.004074,,-2E-06,0.00%,,,0.004074,,0.00%,,,
a16-G,4996.657311,0.1219253,,,4996.657311,0.1218716,,0,-0.01%,,,0.1218716,,0.00%,,,
,4997.660008,0.230198,,,4997.660008,0.230096,,0,-0.01%,,,0.230096,,0.00%,,,
,4998.662572,0.243715,,,4998.662572,0.243662,,0,-0.01%,,,0.243662,,0.00%,,,
,4999.665074,0.186615,,,4999.665073,0.186634,,-9.99999E-07,0.00%,,,0.186634,,0.00%,,,
,5000.667533,0.114443,,,5000.667532,0.1145,,-9.99999E-07,0.01%,,,0.1145,,0.00%,,,
,5001.669961,0.059335,,,5001.66996,0.059391,,-9.99999E-07,0.01%,,,0.059391,,0.00%,,,
,5002.672365,0.026893,,,5002.672363,0.026932,,-2E-06,0.00%,,,0.026932,,0.00%,,,
,5003.674749,0.010899,,,5003.674748,0.010921,,-9.99999E-07,0.00%,,,0.010921,,0.00%,,,
