spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0403_0x_134_7.csv
limit_error:	6.5	2020-03-23
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
961.132753	4	41791135.13	y12	-0.21	0.13	C115H143N48O82P11	0.8
1326.532449	3	75746824.73	y12+2DEPC+H2O-CO	0.09	0.07	C120H153N48O86P11	0.8
994.648725	4	16156124.6	y12+2DEPC+H2O-CO	1.3	0.33	C120H153N48O86P11	2.2
1295.845382	3	10825392.761395946	y12+2DEPC+H2O-CO-2Eth	5.89	0.32	C116H141N48O84P11	1.3
971.627565	4	11986187.509233853	y12+2DEPC+H2O-CO-2Eth	1.1	0.32	C116H141N48O84P11	1.5
1311.189113	3	117107634.52	y12+2DEPC+H2O-CO-Eth	3.1	0.06	C118H147N48O85P11	1.1
983.136696	4	77329706.99	y12+2DEPC+H2O-CO-Eth	-0.27	0.04	C118H147N48O85P11	0.6
1260.830522	3	16456086.333878517	y12+2DEPC+H2O-CO-Eth-G	-3.74	0.24	C113H142N43O84P11	0.9
945.372126	4	8337385.5	y12+2DEPC+H2O-CO-Eth-G	-2.63	0.4	C113H142N43O84P11	2.3
1302.532029	3	12583349.84	y12+DEPC+H2O-CO	5.18	0.32	C117H149N48O84P11	1.5
1396.863955	3	13547409.801918963	y13	1.28	0.31	C125H155N53O89P12	1.5
1047.394007	4	47574429.88826825	y13	-0.77	0.06	C125H155N53O89P12	0.4
1441.547729	3	29550131.17	y13+2DEPC+H2O-CO	-0.29	0.13	C130H165N53O93P12	0.5
1080.905985	4	33484964.360738773	y13+2DEPC+H2O-CO	-3.06	0.07	C130H165N53O93P12	0.3
1057.887407	4	20086881.64	y13+2DEPC+H2O-CO-2Eth	-0.9	0.13	C126H153N53O91P12	0.4
1426.20304	3	41267212.11	y13+2DEPC+H2O-CO-Eth	1.53	0.07	C128H159N53O92P12	0.4
1069.399009	4	108353556.08	y13+2DEPC+H2O-CO-Eth	0.18	0.05	C128H159N53O92P12	0.9
1031.635784	4	23651513.63866237	y13+2DEPC+H2O-CO-Eth-G	-0.66	0.14	C123H154N48O91P12	0.5
1123.655965	4	15849123.6	y14	0.74	0.32	C134H167N56O96P13	1.9
1157.169929	4	17903672.79	y14+2DEPC+H2O-CO	0.28	0.21	C139H177N56O100P13	0.7
1527.886011	3	15515311.23	y14+2DEPC+H2O-CO-Eth	3.09	0.32	C137H171N56O99P13	1.9
1145.658684	4	50160969.53	y14+2DEPC+H2O-CO-Eth	-0.4	0.06	C137H171N56O99P13	0.5
1200.159442	4	21566480.04	y15	-1.68	0.16	C143H178N58O104P14	0.5
1233.677404	4	13152918.64	y15+2DEPC+H2O-CO	1.19	0.33	C148H188N58O108P14	1.8
1222.169755	4	54366448.592171244	y15+2DEPC+H2O-CO-Eth	3.51	0.1	C146H182N58O107P14	0.7
