spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_65_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1527.00021	5	18717995.22	y24	-0.75	0.47	C227H284N89O167P23	
1577.243728	5	403711759.36	y24+CMCT	1.53	0.02	C241H309N92O168P23	
1547.031767	5	71657639.86	y24+CMCT-G	0.22	0.09	C236H304N87O167P23	
1638.249661	5	152021792.01078233	y25+CMCT	0.06	0.05	C250H321N95O175P24	
1608.038737	5	26977360.24	y25+CMCT-G	-0.59	0.32	C245H316N90O174P24	
1707.257873	5	307747561.97	y26+CMCT	-0.69	0.04	C260H333N100O182P25	
1422.550304	6	21286095.53	y26+CMCT	1.62	0.27	C260H333N100O182P25	
1677.050175	5	56167781.78	y26+CMCT-G	0.6	0.16	C255H328N95O181P25	

 
 



Original data of remodelled ions:
m/z 	z 	I 	fragment 	error 	shape_error 	formula 
861.441849	3	20106892.44	w08	-4.74	0.13	C76H97N31O56P8	
899.456296	3	13141249.0	y09-G	-0.23	0.28	C81H103N31O59P8	
1275.992196	6	55563867.18	a24	-5.47	0.43	C228H282N91O166P23	
1292.672163	2	43306799.5	w08	-0.29	0.07	C76H97N31O56P8	
1308.334227	6	27373091.24	a25-G	1.56	0.39	C233H289N91O172P24	
1348.181024	4	15172098.63	a17	1.16	0.51	C161H200N64O117P16	
1352.928411	4	36387296.13	y17	0.23	0.23	C161H201N63O119P16	
1368.171391	4	37203526.15	c17	0.25	0.15	C161H201N64O120P17	
1368.838198	6	15635078.64	w26-G	2.93	0.41	C241H304N92O183P26	
1418.269529	2	25635324.59	w08+CMCT	-2.04	0.17	C90H122N34O57P8	
1425.213932	2	92055419.11	y09	0.59	0.05	C86H108N36O60P8	
1426.209276	6	38929519.05	a26+CMCT	-3.26	0.22	C261H331N102O181P25	
1473.690378	4	43749292.18	y19-G	0.8	0.08	C175H220N66O131P18	
1473.192255	4	38984283.76	a19-G	4.73	0.18	C175H218N66O131P18	
1473.984206	5	24180918.03	w23	-0.63	0.45	C217H273N84O163P23	
1474.218627	4	31166903.11	w18+CMCT-G	0.7	0.35	C179H234N64O129P18	
1493.210084	2	9907617.11	a10-G	4.24	0.48	C90H113N34O65P9	
1494.020279	5	17696137.21	w23+CMCT-G	3.4	0.39	C226H293N82O163P23	
1493.615836	5	20152963.67	a23+CMCT-A	-3.64	0.33	C228H290N86O160P22	
1507.475946	4	121706680.16	c18+CMCT	-0.9	0.07	C184H237N69O129P18	
1508.234037	5	42206797.6	y23+CMCT	1.47	0.11	C231H297N87O161P22	
1510.945474	4	28468065.23	a19	-1.44	0.53	C180H223N71O132P18	
1512.901449	3	23947673.02	c14+CMCT-G	1.07	0.2	C140H185N47O99P14	
1511.97762	4	55202051.77	w18+CMCT	-1.54	0.12	C184H239N69O130P18	
1556.480463	4	42448933.47	w19+CMCT-G	-0.17	0.36	C189H246N69O135P19	
1573.750819	4	102130383.14	a19+CMCT	2.05	0.38	C194H248N74O133P18	
1594.244988	4	100494176.44	w19+CMCT	1.2	0.23	C194H251N74O136P19	
1638.241144	4	28688767.48	c20+CMCT-G	0.73	0.31	C199H256N74O141P20	
1638.249661	5	156579107.58	y25+CMCT	0.06	0.05	C250H321N95O175P24	
1676.002593	4	170950755.52	c20+CMCT	0.18	0.06	C204H261N79O142P20	

 
 
peak list: 
m/z 	z 	I 	fragment 	error_/ppm	used?
344.04076	1	5648123.056429861	c01	1.75	1	
345.04268153	1	741675.0066758927	c01	0.0	1	
346.04466253	1	126297.29259255287	c01	0.0	1	
347.04699953	1	12314.998129953196	c01	0.0	1	
689.088	1	31364595.06811808	c02	0.59	1	
690.0913	1	8237194.327901968	c02	1.71	1	
691.09224853	1	1943474.8266167482	c02	0.0	1	
692.09454153	1	320978.10162211384	c02	0.0	1	
538.03818	1	6875305.204980896	c02-G	-0.01	1	
539.0409835300001	1	1298758.006846888	c02-G	0.0	1	
540.04294053	1	299752.0595670541	c02-G	0.0	1	
541.04542453	1	41149.12288282981	c02-G	0.0	1	
994.12928	1	146358391.056795	c03	0.4	1	
995.13274	1	54991571.82687032	c03	1.26	1	
996.13448	1	16374084.622396134	c03	0.78	1	
997.12912	1	3563918.9760102695	c03	-6.93	1	
998.13826053	1	666236.099702817	c03	0.0	1	
496.5607	2	3486095.693791734	c03	-0.2	1	
497.06210503	2	1309838.679943531	c03	0.0	1	
497.56321453	2	390012.6632969465	c03	0.0	1	
498.06437703	2	84888.6251453174	c03	0.0	1	
498.56549203	2	15869.010184194429	c03	0.0	1	
1245.32539	1	4224282.483072112	c03+CMCT	-2.61	1	
1246.3313675299999	1	2291831.6855061706	c03+CMCT	0.0	1	
1247.33379453	1	801196.3204998726	c03+CMCT	0.0	1	
1248.33620153	1	209820.7029846446	c03+CMCT	0.0	1	
1249.33855553	1	45289.78964033255	c03+CMCT	0.0	1	
843.07903	1	5792513.752701485	c03-G	-0.52	1	
844.0822695300001	1	1749384.1659374277	c03-G	0.0	1	
845.08440453	1	493357.1115406487	c03-G	0.0	1	
846.08683653	1	95777.9517216944	c03-G	0.0	1	
1339.17444	1	8543619.316421306	c04	-1.4	1	
1340.17333	1	4331997.395640982	c04	-4.16	0	
1341.18762	1	1568407.6549966917	c04	4.8	0	
1342.1835035299998	1	423972.13714478177	c04	0.0	1	
1343.18576353	1	96382.50959659556	c04	0.0	1	
669.08475	2	24210522.874768693	c04	0.35	1	
669.58675	2	12275818.731649175	c04	1.4	1	
670.08594	2	4444482.835895498	c04	-1.51	1	
