spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2409_90_6.csv
limit_error:	6
noise_limit:	1500000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
823.60085253	2	445001.21432564396	c05	0.0	1	
824.10200403	2	117921.1007872507	c05	0.0	1	
824.60315103	2	26961.027393405846	c05	0.0	1	
867.11307	2	12436952.590724163	c05+DEPC+H2O	0.06	1	
867.6157	2	8100108.795784341	c05+DEPC+H2O	1.54	1	
868.11554	2	3593915.0363370734	c05+DEPC+H2O	-0.01	1	
868.61674453	2	1195284.2382812079	c05+DEPC+H2O	0.0	1	
869.11790553	2	331688.54271931545	c05+DEPC+H2O	0.0	1	
869.6190615300001	2	79412.5787996932	c05+DEPC+H2O	0.0	1	
562.3898	3	1511980.3343257862	c05+DEPC+H2O-Eth	-4.44	1	
562.72652153	3	950162.8437501993	c05+DEPC+H2O-Eth	0.0	1	
563.06063753	3	411866.34655274457	c05+DEPC+H2O-Eth	0.0	1	
563.39476053	3	133737.12175571214	c05+DEPC+H2O-Eth	0.0	1	
563.72886253	3	36317.968034574274	c05+DEPC+H2O-Eth	0.0	1	
564.0629621966667	3	8510.544111727135	c05+DEPC+H2O-Eth	0.0	1	
974.61822	2	7759959.155281814	c06	0.42	1	
975.1208	2	5663729.518876565	c06	1.69	1	
975.62034853	2	2724244.857246262	c06	0.0	1	
976.12154103	2	982561.6469097574	c06	0.0	1	
976.62270603	2	293930.9441991437	c06	0.0	1	
977.12386403	2	75782.49380991333	c06	0.0	1	
1019.63245	2	20818849.196191855	c06+DEPC+H2O	-1.19	1	
1020.13456	2	15913914.250880577	c06+DEPC+H2O	-0.45	1	
1020.63653	2	7970321.030397933	c06+DEPC+H2O	0.3	1	
1021.13742703	2	2992780.430020074	c06+DEPC+H2O	0.0	1	
1021.64166	2	931214.5201804452	c06+DEPC+H2O	2.99	1	
1022.1397665300001	2	249655.36734060192	c06+DEPC+H2O	0.0	1	
1127.62893	2	4860660.844688253	c07	-1.36	1	
1128.1317	2	4080922.8423413425	c07	-0.11	1	
1128.63431	2	2202025.145175132	c07	1.12	1	
1129.1342510299999	2	889854.1921330128	c07	0.0	1	
1129.63543203	2	296958.1938339004	c07	0.0	1	
1130.13660253	2	85302.06246779194	c07	0.0	1	
1172.64534	2	9134090.32441245	c07+DEPC+H2O	-0.83	1	
1173.14749	2	7984251.883793479	c07+DEPC+H2O	-0.17	1	
1173.64715	2	4462911.533782069	c07+DEPC+H2O	-1.5	1	
