spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0303_neoRibo.csv
limit_error:	6
noise_limit:	2029999.9999999998
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
m/z 	z 	I 	fragment 	error_/ppm	used?
344.03937	1	4554303.46590374	c01	-2.29	1	
345.0426819360425	1	598040.9087373277	c01	0.0	1	
346.0446622502489	1	101836.58876996812	c01	0.0	1	
347.0469996332418	1	9930.153385507261	c01	0.0	1	
689.08747	1	18372088.169255994	c02	-0.18	1	
690.09054	1	4825001.402037172	c02	0.61	1	
691.092248195587	1	1138412.4325176056	c02	0.0	1	
692.0945412758635	1	188006.13465256267	c02	0.0	1	
538.03764	1	3167750.100248913	c02-G	-1.01	1	
539.0409832593043	1	598395.2684611864	c02-G	0.0	1	
540.0429400984978	1	138107.22080650978	c02-G	0.0	1	
541.0454245348401	1	18959.519451703356	c02-G	0.0	1	
994.12908	1	53987984.7922565	c03	0.2	1	
995.13304	1	20285013.064303134	c03	1.56	1	
996.13576	1	6040000.873671409	c03	2.06	1	
997.1360308731258	1	1314643.9642316871	c03	0.0	1	
998.138260146933	1	245732.8156814547	c03	0.0	1	
1300.15464	1	20876666.30293358	c04	0.35	1	
1301.15726	1	10134539.186146755	c04	0.3	1	
1302.15633	1	3653210.1161383907	c04	-2.18	1	
1303.1615386656788	1	977215.3348795077	c04	0.0	1	
1304.1638191582579	1	221681.8066053059	c04	0.0	1	
649.57327	2	23562715.676122773	c04	-0.28	1	
650.07499	2	11438476.904626528	c04	0.29	1	
650.57594	2	4123242.1892765746	c04	-0.01	1	
651.0771310978395	2	1102946.5507563993	c04	0.0	1	
651.578271344129	2	250203.99827323316	c04	0.0	1	
822.09744	2	39342982.69514059	c05	0.33	1	
822.59892	2	24265237.856901996	c05	0.51	1	
823.10085	2	10272313.455712425	c05	1.43	1	
823.6008527469464	2	3258495.037986338	c05	0.0	1	
824.1020039056402	2	863457.248237963	c05	0.0	1	
824.6031511992344	2	197402.24705295573	c05	0.0	1	
746.57346	2	2520766.0793403834	c05-G	1.33	1	
747.0738510559743	2	1368869.4755051204	c05-G	0.0	1	
747.575017358973	2	546052.6966800991	c05-G	0.0	1	
748.0762209477721	2	161950.10665176253	c05-G	0.0	1	
748.5773765155994	2	40678.34860960382	c05-G	0.0	1	
974.61798	2	57705986.361316666	c06	0.17	1	
975.11932	2	42117682.749285236	c06	0.17	1	
975.62062	2	20258465.057864603	c06	0.28	1	
976.12171	2	7306702.191850721	c06	0.17	1	
976.6227062362344	2	2185771.332601936	c06	0.0	1	
977.1238639410626	2	563486.7881230952	c06	0.0	1	
899.09359	2	3217952.523102823	c06-G	0.54	1	
899.59603	2	2111434.9422834152	c06-G	1.7	0	
900.0956922000387	2	959754.779986925	c06-G	0.0	1	
900.5969017612798	2	326695.9946793866	c06-G	0.0	1	
901.0980731687823	2	93112.83820520571	c06-G	0.0	1	
901.5992410639294	2	22908.53376822815	c06-G	0.0	1	
1127.63	2	23487399.300907724	c07	-0.41	1	
1128.13174	2	19719620.004566934	c07	-0.08	0	
1128.63464	2	10640523.546066077	c07	1.41	1	
1129.13527	2	4299891.1915148	c07	0.9	1	
1129.6354317911523	2	1434956.0093653437	c07	0.0	1	
1130.1366026899457	2	412181.6821560372	c07	0.0	1	
1253.23132	2	26099804.374735855	c07+CMCT	0.78	1	
