spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0203_1x_134.csv
limit_error:	6
noise_limit:	1850000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1288.696028	2	10846528.65	y08+DEPC	-3.04	0.25	C79H100N31O55P7	
1425.219758	2	21592782.91	y09	4.68	0.41	C86H108N36O60P8	
949.806067	3	33533700.75	y09	-0.25	0.06	C86H108N36O60P8	
994.489542	3	9445023.92	y09+2DEPC+H2O-CO	-2.75	0.4	C91H118N36O64P8	
1469.222892	2	47269622.38	y09+2DEPC+H2O-CO-Eth	1.21	0.08	C89H112N36O63P8	
979.144548	3	40771546.05	y09+2DEPC+H2O-CO-Eth	-0.45	0.08	C89H112N36O63P8	
899.451873	3	6113738.54801941	y09-G	-5.14	0.13	C81H103N31O59P8	
1051.816043	3	42277779.62	y10	1.24	0.08	C95H119N38O68P9	
1096.499904	3	26946198.37	y10+2DEPC+H2O-CO	-0.73	0.16	C100H129N38O72P9	
1622.235778	2	26777887.364199195	y10+2DEPC+H2O-CO-Eth	1.24	0.18	C98H123N38O71P9	
1081.154098	3	52841924.48	y10+2DEPC+H2O-CO-Eth	0.63	0.12	C98H123N38O71P9	
1166.831498	3	82491663.11	y11	0.81	0.07	C105H131N43O75P10	
1211.51719	3	59242380.62	y11+2DEPC+H2O-CO	0.55	0.06	C110H141N43O79P10	
1180.821742	3	18632196.04	y11+2DEPC+H2O-CO-2Eth	-0.17	0.11	C106H129N43O77P10	
1794.755933	2	15165937.57	y11+2DEPC+H2O-CO-Eth	-0.86	0.31	C108H135N43O78P10	
1196.169369	3	117121395.7	y11+2DEPC+H2O-CO-Eth	0.12	0.06	C108H135N43O78P10	
1145.821533	3	19889131.1	y11+2DEPC+H2O-CO-Eth-G	1.84	0.16	C103H130N38O77P10	
1190.837741	3	15429208.87	y11+DEPC	0.12	0.36	C108H135N43O77P10	
1675.224746	2	14753905.718732938	y11-G	-0.01	0.22	C100H126N38O74P10	
1116.482355	3	9011867.55	y11-G	1.44	0.5	C100H126N38O74P10	
1281.846731	3	76344360.61	y12	0.29	0.03	C115H143N48O82P11	
1326.531226	3	65162666.52	y12+2DEPC+H2O-CO	-0.83	0.05	C120H153N48O86P11	
1295.841042	3	16574636.54	y12+2DEPC+H2O-CO-2Eth	2.54	0.22	C116H141N48O84P11	
1311.186303	3	127880728.51	y12+2DEPC+H2O-CO-Eth	0.96	0.05	C118H147N48O85P11	
1260.834551	3	30422039.28	y12+2DEPC+H2O-CO-Eth-G	-0.55	0.1	C113H142N43O84P11	
1231.493947	3	14755452.28	y12-G	-2.12	0.18	C110H138N43O81P11	
1396.8595	3	65139024.07	y13	-1.91	0.11	C125H155N53O89P12	
1441.548075	3	45539549.17	y13+2DEPC+H2O-CO	-0.05	0.22	C130H165N53O93P12	
1410.851064	3	48895836.1	y13+2DEPC+H2O-CO-2Eth	-1.77	0.3	C126H153N53O91P12	
1426.204497	3	106590631.67000003	y13+2DEPC+H2O-CO-Eth	2.55	0.13	C128H159N53O92P12	
1375.848034	3	36903608.33322661	y13+2DEPC+H2O-CO-Eth-G	-2.19	0.08	C123H154N48O91P12	
1346.513198	3	23646383.89	y13-G	0.62	0.17	C120H150N48O88P12	
