spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1311_1_6.csv
limit_error:	6
noise_limit:	1600000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1438.52803	6	418225818.38636833	RNA+CMCT-A-H2O	-0.79	1	
1438.6952	6	408590972.8738197	RNA+CMCT-A-H2O	-0.74	1	
1438.6952	6	429697256.7091626	RNA+CMCT-G	-1.95	1	
1438.86225	6	332939040.7151173	RNA+CMCT-A-H2O	-0.77	1	
1438.86225	6	533788812.24138486	RNA+CMCT-G	-1.99	1	
1439.0296	6	234659745.54411379	RNA+CMCT-A-H2O	-0.59	1	
1439.0296	6	521518065.8402793	RNA+CMCT-G	-1.81	1	
1439.19679	6	146626726.98485732	RNA+CMCT-A-H2O	-0.51	1	
1439.19679	6	424977344.764406	RNA+CMCT-G	-1.74	1	
1439.36387	6	82678405.052344	RNA+CMCT-A-H2O	-0.51	1	
1439.36387	6	299542812.74613404	RNA+CMCT-G	-1.75	1	
1439.53119	6	42635419.11360841	RNA+CMCT-A-H2O	-0.35	1	
1439.53119	6	187176660.48777306	RNA+CMCT-G	-1.59	1	
1439.69882	6	20316861.505184628	RNA+CMCT-A-H2O	0.04	1	
1439.69882	6	105547520.54904544	RNA+CMCT-G	-1.2	1	
1439.86699	6	9020929.149665337	RNA+CMCT-A-H2O	0.8	1	
1439.86699	6	54430601.81883671	RNA+CMCT-G	-0.44	1	
1440.03613	6	3757447.459327548	RNA+CMCT-A-H2O	2.24	1	
1440.03613	6	25938522.22048815	RNA+CMCT-G	0.99	1	
1451.19693	4	3893720.4870110303	c18+CMCT-G	-0.24	1	
1451.19693	5	5734663.596774912	c22+CMCT	-1.1	1	
1453.67626	2	3108444.8622913626	w09	-4.4	1	
1453.67626	2	5693475.536203615	c09	5.55	1	
1455.16807	4	1570548.3059519723	a19-G	-0.55	1	
1455.16807	4	2015669.8724447486	y19-G	-5.55	1	
1461.97273	5	4106631.023863467	w23	2.64	1	
1461.97273	5	17301621.985320326	c23	4.04	1	
1462.17131	5	11153821.57975282	w23	1.29	1	
1462.17131	5	18246226.226921275	c23	2.71	1	
1462.37639	5	15254363.107593378	c23	5.84	1	
1462.37639	5	16508577.038370121	w23	4.4	1	
1462.37639	6	5376057.004968756	RNA+CMCT-H2O	1.02	1	
1462.57691	5	10701456.718186375	c23	5.85	1	
1462.57691	5	17410982.004759964	w23	4.4	1	
1469.19925	3	3118322.1092461185	y14	2.81	1	
1469.19925	5	1851913.3635052508	a23+CMCT-A	-2.3	1	
1481.99379	5	1113929.8713227313	w23+CMCT-G	-3.48	1	
1481.99379	5	4704794.322966721	c23+CMCT-G	-2.11	1	
1482.19608	5	3129176.5717826984	w23+CMCT-G	-2.31	1	
1482.19608	5	5087040.0085572265	c23+CMCT-G	-0.91	1	
1482.3944	5	4350402.660716149	c23+CMCT-G	-2.39	1	
1482.3944	5	4763836.967455417	w23+CMCT-G	-3.8	1	
1482.60086	5	3116504.807709265	c23+CMCT-G	1.62	0	
1482.60086	5	5151199.021854579	w23+CMCT-G	0.2	1	
1482.80622	5	1937777.255377947	c23+CMCT-G	4.9	1	
1482.80622	5	4405520.229125679	w23+CMCT-G	3.47	1	
1488.70637	4	12214329.438267728	w18+CMCT	-6.58	1	
1488.70637	4	30045707.653817214	c18+CMCT	-1.73	1	
1488.95769	4	27942630.82320295	w18+CMCT	-6.16	1	
1488.95769	4	37756346.833763525	c18+CMCT	-1.29	1	
1489.20862	4	33988554.258941256	c18+CMCT	-1.1	1	
1489.20862	4	35133923.181888804	w18+CMCT	-5.98	1	
1489.45862	4	24345029.505444765	c18+CMCT	-1.53	0	
1489.45862	4	31629055.601203047	w18+CMCT	-6.41	1	
1489.70889	4	14672342.323399104	c18+CMCT	-1.77	0	
1489.70889	4	22647317.90048826	w18+CMCT	-6.65	1	
1492.18573	4	9396488.392446931	y19	-0.51	1	
1492.18573	4	19136020.674377795	a19	4.33	1	
1492.43788	4	21150923.134404775	y19	0.47	1	
1492.43788	4	23785445.01803682	a19	5.32	1	
1492.68831	4	21238114.191311374	a19	5.18	1	
1492.68831	4	26304784.945628088	y19	0.32	1	
1492.93916	4	15118054.556162948	a19	5.33	1	
1492.93916	4	23488222.666231196	y19	0.46	1	
1493.18899	4	9067982.752151452	a19	4.8	1	
