spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0301_neoRibo_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1885.8039620299999	2	4223158.06829376	c11+CMCT	0.0	1	
1886.30520153	2	2102302.4728089054	c11+CMCT	0.0	1	
1886.8064235299998	2	889085.9091144756	c11+CMCT	0.0	1	
1887.30763303	2	329930.2650067302	c11+CMCT	0.0	1	
1887.8088320299998	2	109798.44982731015	c11+CMCT	0.0	1	
1255.86297	3	11903233.372410152	c11+CMCT	-1.02	1	
1256.19841	3	17500581.47663853	c11+CMCT	-0.08	1	
1256.53159	3	14782311.457718456	c11+CMCT	-0.89	1	
1256.86472	3	9123648.39765742	c11+CMCT	-1.72	1	
1257.2010421966665	3	4541783.252546732	c11+CMCT	0.0	1	
1257.53666	3	1920768.0837173515	c11+CMCT	1.17	1	
1257.8693298633334	3	712776.4779317176	c11+CMCT	0.0	1	
1258.2034625299998	3	237206.95144071153	c11+CMCT	0.0	1	
1273.80912	3	14542022.777654784	c12	-1.81	1	
1274.14397	3	20599364.980249062	c12	-1.34	0	
1274.47952	3	17115611.613853656	c12	-0.27	1	
1274.81376	3	10466521.26518916	c12	-0.21	1	
1275.14457	3	5189937.4627498435	c12	-2.83	1	
1275.4823121966665	3	2194256.153008546	c12	0.0	1	
1275.81644253	3	816258.4395767108	c12	0.0	1	
1276.1505661966667	3	272918.1415568821	c12	0.0	1	
1357.54284	3	16047444.822719937	c12+CMCT	-1.35	1	
1357.87711	3	25408623.416674208	c12+CMCT	-1.35	1	
1358.21181	3	22921809.29976817	c12+CMCT	-0.98	1	
1358.5441	3	15059868.51054532	c12+CMCT	-2.37	1	
1358.87903	3	7962292.126275509	c12+CMCT	-1.8	1	
1359.2156335299999	3	3570850.5918394327	c12+CMCT	0.0	1	
1359.5497761966667	3	1403522.3643255334	c12+CMCT	0.0	1	
1359.8839118633332	3	494216.37144022394	c12+CMCT	0.0	1	
1375.8151	3	7312338.624479475	c13	-3.46	1	
1376.15255	3	11160489.628878856	c13	-1.14	1	
1376.48581	3	9902958.218665062	c13	-1.81	1	
1376.82627	3	6448365.109538363	c13	2.75	1	
1377.1566331966667	3	3397351.281065757	c13	0.0	1	
1377.4907771966664	3	1524023.0174151212	c13	0.0	1	
1377.824912863333	3	600917.2305175903	c13	0.0	1	
1378.1590415299997	3	212786.73868676458	c13	0.0	1	
1459.54565	3	11247602.516973129	c13+CMCT	-5.11	1	
1459.88124	3	19042863.87989611	c13+CMCT	-4.2	1	
1460.21696	3	18265951.371381935	c13+CMCT	-3.17	1	
1460.55376	3	12729987.388365215	c13+CMCT	-1.38	1	
1460.8899368633333	3	7127739.49679501	c13+CMCT	0.0	1	
