spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_134_6n.csv
limit_error:	6
noise_limit:	1800000.0
shape_limit:	0.75
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1166.831147	3	51250741.49	y11	0.51	0.08	C105H131N43O75P10	
1211.517072	3	56107617.08	y11+2DEPC+H2O-CO	0.46	0.05	C110H141N43O79P10	
1180.819783	3	24862408.56	y11+2DEPC+H2O-CO-2Eth	-1.83	0.09	C106H129N43O77P10	
1196.169202	3	110970510.44	y11+2DEPC+H2O-CO-Eth	-0.02	0.06	C108H135N43O78P10	
1675.221284	2	14136857.66	y11-G	-2.07	0.59	C100H126N38O74P10	
1281.849908	3	61518276.77	y12	2.77	0.07	C115H143N48O82P11	
1990.303374	2	8229140.18	y12+2DEPC+H2O-CO	0.62	0.44	C120H153N48O86P11	
1326.531808	3	74614459.63	y12+2DEPC+H2O-CO	-0.39	0.12	C120H153N48O86P11	
1295.83794	3	22697075.73	y12+2DEPC+H2O-CO-2Eth	0.14	0.24	C116H141N48O84P11	
1311.185791	3	141937204.24	y12+2DEPC+H2O-CO-Eth	0.57	0.05	C118H147N48O85P11	
1305.851868	3	8318386.54	y12+DEPC	-1.18	0.42	C118H147N48O84P11	
1302.520803	3	10436331.27	y12+DEPC+H2O-CO	-3.44	0.31	C117H149N48O84P11	
1396.861251	3	33839955.18	y13	-0.66	0.22	C125H155N53O89P12	
1441.549009	3	49882800.07	y13+2DEPC+H2O-CO	0.6	0.28	C130H165N53O93P12	
1410.853196	3	54662350.9	y13+2DEPC+H2O-CO-2Eth	-0.26	0.12	C126H153N53O91P12	
1426.204193	3	128220443.47	y13+2DEPC+H2O-CO-Eth	2.34	0.1	C128H159N53O92P12	
1346.516422	3	17648359.87	y13-G	3.01	0.23	C120H150N48O88P12	
1498.54328	3	10505105.37	y14	0.45	0.32	C134H167N56O96P13	
1543.227355	3	24966322.24	y14+2DEPC+H2O-CO	-0.79	0.21	C139H177N56O100P13	
1527.886859	3	52173384.27	y14+2DEPC+H2O-CO-Eth	3.65	0.2	C137H171N56O99P13	
1448.190803	3	23884574.61	y14-G	-1.38	0.37	C129H162N51O95P13	
1629.88705	3	26642416.73	y15+2DEPC+H2O-CO-Eth	-1.64	0.24	C146H182N58O107P14	
1731.901424	3	50088433.49	y16+2DEPC+H2O-CO-Eth	1.89	0.14	C155H193N60O115P15	
1298.676236	4	13625107.69	y16+2DEPC+H2O-CO-Eth	3.42	0.36	C155H193N60O115P15	
1726.570565	3	14927101.68	y16+DEPC	2.35	0.2	C155H193N60O114P15	
1848.924915	3	11543823.2	y17+2DEPC+H2O-CO	-0.52	0.37	C166H211N63O123P16	
1386.442245	4	15254501.24	y17+2DEPC+H2O-CO	-0.24	0.44	C166H211N63O123P16	
1833.58153	3	34213280.45	y17+2DEPC+H2O-CO-Eth	1.61	0.15	C164H205N63O122P16	
1374.930375	4	23475270.82	y17+2DEPC+H2O-CO-Eth	-1.27	0.34	C164H205N63O122P16	
1348.682498	4	28384824.85	y17+2DEPC+H2O-CO-G	1.68	0.46	C161H206N58O122P16	
1429.190022	4	26654884.92	y18	1.12	0.46	C170H213N66O126P17	
1462.694608	4	26110272.44	y18+2DEPC+H2O-CO	-5.67	0.5	C175H223N66O130P17	
1439.676982	4	38948379.4	y18+2DEPC+H2O-CO-2Eth	-3.47	0.48	C171H211N66O128P17	
1935.264476	3	17008860.85	y18+2DEPC+H2O-CO-Eth	2.82	0.36	C173H217N66O129P17	
