spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1411_1_6.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev*n 	formula 
744.1066735300001	1	201455.09875976882	y03-G	0.0	1	
745.10921153	1	37181.89101263696	y03-G	0.0	1	
1222.20299	1	101945114.15553509	y04	-0.42	1	
1223.2067	1	49384072.585351184	y04	0.42	1	
1224.2085	1	17160776.293278456	y04	-0.01	1	
1225.212	1	4449696.377531026	y04	0.91	1	
1226.21317353	1	970770.0283609403	y04	0.0	1	
610.5976	2	33595108.350670576	y04	-0.84	1	
611.09972	2	16274083.197072713	y04	0.43	1	
611.60236	2	5655181.650733447	y04	2.85	1	
612.10180153	2	1466357.9826167151	y04	0.0	1	
612.60294853	2	319908.65434328036	y04	0.0	1	
1473.41199	1	3480006.95709364	y04+CMCT	5.92	1	
1474.4060315299998	1	2266259.7315255087	y04+CMCT	0.0	1	
1475.40852053	1	919592.4093734005	y04+CMCT	0.0	1	
1476.4109675299999	1	278498.37941331137	y04+CMCT	0.0	1	
1477.4133625299999	1	69148.20771960774	y04+CMCT	0.0	1	
1527.24272	1	15575952.124519587	y05	-1.35	1	
1528.25347	1	9307009.76643897	y05	3.91	1	
1529.25605	1	3790123.7436830685	y05	4.04	0	
1530.2522625299998	1	1156953.9844602114	y05	0.0	1	
1531.2545865299999	1	294524.2873452256	y05	0.0	1	
763.11855	2	80035991.37488344	y05	-0.27	1	
763.62072	2	47823449.08598262	y05	0.8	1	
764.12219	2	19475298.128429193	y05	1.17	1	
764.62174	2	5944930.902530655	y05	-0.98	1	
765.12365503	2	1513393.4114081142	y05	0.0	1	
915.63937	2	89634984.81511323	y06	-0.03	1	
916.14046	2	63697213.47762543	y06	-0.33	1	
916.64186	2	29680176.265590955	y06	-0.12	1	
917.14271	2	10368841.13254442	y06	-0.51	1	
917.64641	2	3001091.1986855883	y06	2.24	1	
918.14551753	2	748299.4361793628	y06	0.0	1	
457.31847	4	1778796.91104569	y06	5.27	1	
457.56674253	4	1264064.5481217722	y06	0.0	1	
457.81734702999995	4	588999.9978180741	y06	0.0	1	
458.06794928	4	205768.56922257974	y06	0.0	1	
458.31853702999996	4	59556.341366035944	y06	0.0	1	
458.56912052999996	4	14849.924149132581	y06	0.0	1	
1068.65283	2	83088059.03352074	y07	0.73	1	
1069.15449	2	68160878.49274819	y07	0.99	1	
1069.65578	2	35809296.946406186	y07	1.05	1	
1070.15705	2	14085129.77926822	y07	1.09	1	
1070.6584	2	4571642.308278253	y07	1.24	1	
1071.1582500299999	2	1276733.2055419376	y07	0.0	1	
1194.24897	2	3978609.196690238	y07+CMCT	-2.48	1	
1194.75605	2	3927482.4014878967	y07+CMCT	2.28	1	
1195.25461153	2	2319255.6944050775	y07+CMCT	0.0	1	
1195.75586103	2	1013701.4945817036	y07+CMCT	0.0	1	
1196.25708453	2	360718.8066837939	y07+CMCT	0.0	1	
1196.75829203	2	109690.00156347772	y07+CMCT	0.0	1	
1197.25948703	2	29393.208087375093	y07+CMCT	0.0	1	
1241.17717	2	164743810.06675556	y08	1.13	1	
1241.67819	2	156779789.98746717	y08	0.85	1	
1242.17936	2	92431827.4612269	y08	0.8	1	
1242.67993	2	40632086.06372301	y08	0.27	1	
1243.18016	2	14649020.112175887	y08	-0.5	1	
1243.68101	2	4532001.970837046	y08	-0.77	1	
1244.18313453	2	1239846.967370504	y08	0.0	1	
827.11424	3	12896970.695898732	y08	-0.62	1	
827.4496	3	12273507.310278889	y08	0.73	1	
827.78413	3	7236026.46832537	y08	1.18	1	
828.11786	3	3180883.233577816	y08	0.68	1	
828.4514298633334	3	1146798.6750689351	y08	0.0	1	
828.7855508633334	3	354787.81623392476	y08	0.0	1	
829.1196641966667	3	97061.43131627775	y08	0.0	1	
1366.7756490299998	2	2297939.9838392967	y08+CMCT	0.0	1	
1367.28042	2	2570162.4580934034	y08+CMCT	2.48	1	
1367.78501	2	1688797.3771706987	y08+CMCT	4.9	1	
1368.27956053	2	817120.0404467491	y08+CMCT	0.0	1	
1368.78078403	2	320605.50052414945	y08+CMCT	0.0	1	
1369.2819920299999	2	107239.7983329414	y08+CMCT	0.0	1	
1369.78318703	2	31549.884346067614	y08+CMCT	0.0	1	
1165.65251	2	7877001.941815744	y08-G	1.24	1	
1166.15529	2	6915482.268478257	y08-G	2.42	1	
1166.65546	2	3874691.1094328607	y08-G	1.5	1	
1167.15494203	2	1624883.3845344689	y08-G	0.0	1	
1167.65614353	2	562025.0847344854	y08-G	0.0	1	
1168.15733303	2	167260.58760710125	y08-G	0.0	1	
1168.65851003	2	44118.01006448179	y08-G	0.0	1	
1413.69363	2	73606901.62845358	y09	-4.14	1	
1414.19808	2	79714089.0244431	y09	-1.95	1	
1414.70158	2	52142312.61517353	y09	-0.35	1	
1415.20447	2	25304025.36377118	y09	0.83	1	
1415.70206	2	10020586.563470786	y09	-1.72	1	
1416.2056810299998	2	3396347.017898018	y09	0.0	1	
1416.70685353	2	1015883.7114484926	y09	0.0	1	
942.13032	3	38036073.833929606	y09	-0.26	1	
942.46436	3	41191938.645140536	y09	-0.47	1	
942.79896	3	26944332.78164118	y09	-0.0	1	
943.13242	3	13075754.524898734	y09	-0.73	1	
943.46633	3	5178098.275503587	y09	-0.96	1	
943.8013618633333	3	1755048.821243662	y09	0.0	1	
944.1354768633335	3	524953.8698203332	y09	0.0	1	
1566.70892	2	15180116.47639915	y10	-2.05	1	
1567.21087	2	18105118.517273914	y10	-1.68	1	
1567.71387	2	12889377.23815794	y10	-0.57	1	
1568.21599253	2	6787962.460832365	y10	0.0	1	
1568.71720053	2	2909947.0268565747	y10	0.0	1	
1569.2183945299998	2	1066138.4450409012	y10	0.0	1	
1569.71957703	2	344336.07577069604	y10	0.0	1	
1044.13907	3	52278455.37230119	y10	0.07	1	
1044.47362	3	62351802.89209794	y10	0.36	1	
1044.80792	3	44389430.98818925	y10	0.48	1	
1045.143	3	23376908.413660426	y10	1.37	1	
1045.47625	3	10021499.901914315	y10	0.52	1	
1045.8131	3	3671649.766747139	y10	3.12	1	
1046.1439591966666	3	1185851.1229633018	y10	0.0	1	
1731.24409	2	3760945.656779954	y11	3.29	1	
1731.7369	2	4978058.033393029	y11	-1.65	1	
1732.24101353	2	3856904.386622243	y11	0.0	1	
1732.7422465299999	2	2197896.234953253	y11	0.0	1	
1733.24345753	2	1015006.7871230498	y11	0.0	1	
1733.74465403	2	399486.2492152044	y11	0.0	1	
1734.2458390299998	2	138286.2256523597	y11	0.0	1	
1734.7470150299998	2	43016.548067444186	y11	0.0	1	
1153.82402	3	73396450.54932699	y11	0.74	1	
1154.1585	3	97148915.0929225	y11	0.95	1	
1154.49278	3	75269125.8848371	y11	1.04	1	
1154.82715	3	42892877.76080642	y11	1.22	1	
1155.16141	3	19808288.195818223	y11	1.32	1	
1155.4961	3	7796143.686044058	y11	1.81	1	
1155.83002	3	2698714.379041699	y11	1.63	1	
1156.1622511966666	3	839486.1907518489	y11	0.0	1	
1237.5564261966665	3	2183510.6178355063	y11+CMCT	0.0	1	
1237.88794	3	3254362.5056153587	y11+CMCT	-2.21	1	
1238.22124	3	2754311.928804213	y11+CMCT	-2.93	1	
1238.5590381966667	3	1695372.016459348	y11+CMCT	0.0	1	
1238.8931941966666	3	838908.6445673063	y11+CMCT	0.0	1	
1239.2273395299999	3	351849.46737453016	y11+CMCT	0.0	1	
1239.5614761966667	3	129249.21511042483	y11+CMCT	0.0	1	
1239.8956061966664	3	42512.18626202012	y11+CMCT	0.0	1	
1103.47292	3	5847449.240107644	y11-G	-0.41	1	
1103.80729	3	7308696.543078739	y11-G	-0.3	1	
1104.13844	3	5431860.587551937	y11-G	-3.05	1	
1104.47793	3	2983186.340704188	y11-G	1.78	0	
1104.8101115299999	3	1332602.0193649693	y11-G	0.0	1	
1105.1442468633331	3	508516.2186894601	y11-G	0.0	1	
1105.4783741966667	3	170995.61563429653	y11-G	0.0	1	
1105.8124951966665	3	51731.5550411131	y11-G	0.0	1	
1895.76461	2	2470849.460805206	y12	-0.02	1	
1896.26275	2	3593973.7004203624	y12	-1.71	1	
1896.7672670299999	2	3012156.882188039	y12	0.0	1	
1897.2685020299998	2	1846683.548054322	y12	0.0	1	
1897.76971553	2	913869.8171093932	y12	0.0	1	
1898.2709140299999	2	384422.2304972197	y12	0.0	1	
1898.77210103	2	141942.61948029982	y12	0.0	1	
1899.2732795299999	2	47011.73367847394	y12	0.0	1	
1263.50646	3	69765270.94643988	y12	-0.7	1	
1263.8407	3	101477064.04683019	y12	-0.69	1	
1264.17553	3	85049269.23008491	y12	-0.18	1	
1264.50937	3	52141735.11014219	y12	-0.43	1	
1264.8438	3	25803423.645094592	y12	-0.2	1	
1265.17874	3	10854291.810935885	y12	0.44	1	
1265.51001	3	4007797.9107895265	y12	-1.82	1	
1265.8464275299998	3	1327392.214607758	y12	0.0	1	
1347.24059953	3	2155756.6484467117	y12+CMCT	0.0	1	
1347.58179	3	3495247.393026504	y12+CMCT	5.16	1	
1347.90712	3	3183661.538296195	y12+CMCT	-1.42	1	
1348.2432051966666	3	2099057.439611508	y12+CMCT	0.0	1	
1348.5773618633332	3	1108979.8191930908	y12+CMCT	0.0	1	
1348.9115078633333	3	495468.59264975146	y12+CMCT	0.0	1	
1349.2456455299998	3	193543.22083672063	y12+CMCT	0.0	1	
1349.5797761966664	3	67610.55109436018	y12+CMCT	0.0	1	
1213.15617	3	5904059.640429924	y12-G	-1.13	1	
1213.49407	3	8152491.766121722	y12-G	1.88	1	
1213.8271	3	6570266.648418691	y12-G	0.93	1	
1214.15876	3	3890889.9898503856	y12-G	-1.13	1	
1214.4942811966666	3	1866036.2661747953	y12-G	0.0	1	
1214.8284178633332	3	762384.3923282187	y12-G	0.0	1	
1215.1625461966667	3	273895.3862968968	y12-G	0.0	1	
1215.4966685299999	3	88388.00227541653	y12-G	0.0	1	
1365.51711	3	39276414.33783548	y13	0.97	1	
1365.85138	3	61438741.27562943	y13	1.0	1	
1366.18637	3	55008670.528330065	y13	1.59	1	
1366.52021	3	35935542.06296784	y13	1.35	1	
1366.85424	3	18915636.313757755	y13	1.26	1	
1367.18591	3	8453497.650985802	y13	-0.54	1	
1367.52565	3	3313159.9289878896	y13	3.56	1	
1367.85490553	3	1164052.9441491023	y13	0.0	1	
1449.25922	3	5530779.582588475	y13+CMCT	7.03	1	
1449.59263	3	9574164.513128923	y13+CMCT	6.45	1	
1449.91563	3	9272892.53379331	y13+CMCT	-1.28	1	
1450.2499	3	6488599.073338605	y13+CMCT	-1.21	1	
1450.57768	3	3633549.800568735	y13+CMCT	-5.61	0	
1450.91539	3	1719187.1106197287	y13+CMCT	-3.16	0	
1451.2541118633333	3	710730.1927965776	y13+CMCT	0.0	1	
1451.5882471966665	3	262610.048133868	y13+CMCT	0.0	1	
1451.9223768633333	3	88146.21766266822	y13+CMCT	0.0	1	
1315.16857	3	4399573.763875349	y13-G	1.97	1	
1315.5037	3	6557746.122277856	y13-G	2.64	1	
1315.83569	3	5658853.797047632	y13-G	0.97	1	
1316.17016	3	3578185.7980098	y13-G	1.19	1	
1316.50655	3	1828618.8423710305	y13-G	2.89	0	
1316.8368838633332	3	795080.0006165595	y13-G	0.0	1	
1317.1710178633332	3	303664.43037070433	y13-G	0.0	1	
1317.5051451966665	3	104114.84876071202	y13-G	0.0	1	
1467.52073	3	25777449.013710786	y14	-2.37	1	
1467.85643	3	43151067.96432023	y14	-1.38	1	
1468.19226	3	41091111.20638373	y14	-0.26	1	
1468.52828	3	28478981.362696435	y14	1.0	1	
1468.86563	3	15876853.73681899	y14	3.17	1	
1469.20261	3	7505997.651764088	y14	5.1	1	
1469.53979	3	3109522.8134490196	y14	7.17	1	
1469.8633798633332	3	1153922.527995181	y14	0.0	1	
1470.1975031966665	3	389753.0873234229	y14	0.0	1	
1100.39026	4	3520174.8310793582	y14	-0.98	1	
1100.64136	4	5892720.544278879	y14	-0.6	1	
1100.89	4	5611412.338469105	y14	-2.42	1	
1101.141	4	3889096.7587374356	y14	-2.08	1	
1101.39391003	4	2168147.0843508006	y14	0.0	1	
1101.64451778	4	1025020.9010917592	y14	0.0	1	
1101.89511928	4	424637.206682019	y14	0.0	1	
1102.1457157799998	4	157579.94663876778	y14	0.0	1	
1102.3963082799999	4	53224.778278162245	y14	0.0	1	
1551.2574678633332	3	5646585.910853094	y14+CMCT	0.0	1	
1551.5931	3	10394175.690965485	y14+CMCT	0.89	1	
1551.92894	3	10663078.836061966	y14+CMCT	1.94	1	
1552.26733	3	7888171.16783583	y14+CMCT	4.65	1	
1552.60351	3	4664011.6588059375	y14+CMCT	5.95	1	
1552.93744	3	2327902.086626396	y14+CMCT	5.8	1	
1553.26257553	3	1014531.6089535634	y14+CMCT	0.0	1	
1553.5967151966665	3	394952.8442758422	y14+CMCT	0.0	1	
1553.9308485299998	3	139613.6489882448	y14+CMCT	0.0	1	
1569.52872	3	21280103.314354803	y15	-2.5	1	
1569.86544	3	37957309.269113034	y15	-0.93	1	
1570.1969	3	38296209.63674413	y15	-2.67	0	
1570.53308	3	28053523.34155849	y15	-1.39	1	
1570.86629	3	16503137.239229107	y15	-2.0	1	
1571.20826	3	8223482.953788773	y15	2.98	1	
1571.54733	3	3587475.7148131346	y15	6.12	1	
1571.8718508633333	3	1401006.6302760583	y15	0.0	1	
1572.2059785299998	3	497740.4110235691	y15	0.0	1	
1176.89751	4	18355056.68020073	y15	-0.13	1	
1177.14921	4	32739905.101518154	y15	0.73	1	
1177.39962	4	33032222.07784662	y15	0.53	1	
1177.65089	4	24197439.430018682	y15	1.07	1	
1177.90203	4	14234706.239553133	y15	1.51	1	
1178.15201	4	7093127.95599244	y15	0.97	0	
1178.39941	4	3094360.9206925123	y15	-1.75	1	
1178.65206903	4	1208431.920098211	y15	0.0	1	
1178.90266478	4	429323.7359520318	y15	0.0	1	
1653.27054	3	12056244.742965946	y15+CMCT	2.81	1	
1653.60457	3	23515759.16305156	y15+CMCT	2.67	1	
1653.93974	3	25466029.12690236	y15+CMCT	3.25	1	
1654.27394	3	19849669.919476163	y15+CMCT	3.26	1	
1654.60674	3	12350594.335150784	y15+CMCT	2.43	1	
1654.94142	3	6481066.034830069	y15+CMCT	2.74	1	
1655.2710371966666	3	2967547.5085339355	y15+CMCT	0.0	1	
1655.6051805299999	3	1213141.117996412	y15+CMCT	0.0	1	
1655.9393178633334	3	450182.95948405773	y15+CMCT	0.0	1	
1519.17159	3	2718005.4120393298	y15-G	-7.41	1	
1519.5171068633333	3	4647726.234695806	y15-G	0.0	1	
1519.84284	3	4536674.467039746	y15-G	-5.57	1	
1520.18538	3	3227524.006527191	y15-G	-0.07	1	
1520.51965553	3	1848848.3754501336	y15-G	0.0	1	
1520.8538078633333	3	898800.4107480112	y15-G	0.0	1	
1521.1879515299997	3	383090.7125549106	y15-G	0.0	1	
1521.5220878633334	3	146331.81832262926	y15-G	0.0	1	
1521.8562181966668	3	50896.416729037766	y15-G	0.0	1	
1671.20365	3	12289851.214600202	y16	-5.64	1	
1671.54298	3	23311446.469067782	y16	-2.6	1	
1671.87745	3	24844897.729588874	y16	-2.44	1	
1672.2137	3	19168396.519283097	y16	-1.2	1	
1672.54779	3	11852149.041472346	y16	-1.24	1	
1672.87867	3	6198564.175309388	y16	-3.2	1	
1673.21071	3	2834976.841703914	y16	-4.45	1	
1673.5522998633332	3	1159833.0069069061	y16	0.0	1	
1673.8864301966667	3	431318.3344023566	y16	0.0	1	
1253.15762	4	16866841.031122632	y16	-0.29	1	
1253.41033	4	31993101.863770775	y16	1.32	1	
1253.66075	4	34097641.470357485	y16	1.14	1	
1253.9119	4	26307096.09634521	y16	1.55	0	
1254.16337	4	16266129.69261969	y16	2.22	1	
1254.412	4	8507035.174026417	y16	0.64	1	
1254.66034	4	3890779.7076605665	y16	-1.17	1	
1254.91240578	4	1591778.3387733335	y16	0.0	1	
1255.16300353	4	591950.0287790751	y16	0.0	1	
1754.94841	3	6048531.303560183	y16+CMCT	1.18	1	
1755.27951	3	12481782.716897393	y16+CMCT	-0.61	1	
1755.60885	3	14232714.266797578	y16+CMCT	-3.39	1	
1755.94646	3	11652804.749366326	y16+CMCT	-1.44	1	
1756.27747	3	7603034.743162861	y16+CMCT	-3.24	1	
1756.61852	3	4178720.810895574	y16+CMCT	0.68	1	
1756.95147953	3	2002102.701579917	y16+CMCT	0.0	1	
1757.2856251966666	3	855840.2367763974	y16+CMCT	0.0	1	
1757.6197651966665	3	331877.0825609358	y16+CMCT	0.0	1	
1757.95389953	3	118229.72162301822	y16+CMCT	0.0	1	
1215.39563578	4	1831625.5976490923	y16-G	0.0	1	
1215.64478	4	3339202.831374458	y16-G	-1.28	1	
1215.89566	4	3448455.652578137	y16-G	-1.09	1	
1216.14762628	4	2587356.2198168514	y16-G	0.0	1	
1216.39825153	4	1559669.9177114815	y16-G	0.0	1	
1216.64886828	4	796639.2785141555	y16-G	0.0	1	
1216.89947803	4	356333.58353502204	y16-G	0.0	1	
1217.15008253	4	142720.06952632777	y16-G	0.0	1	
1217.4006825299998	4	52017.74675919952	y16-G	0.0	1	
1329.41897	4	14473888.313543223	y17	0.5	1	
1329.66908	4	29091267.3190265	y17	0.06	1	
1329.91872	4	32657742.82994451	y17	-0.7	1	
1330.16885	4	26465209.832024463	y17	-1.08	1	
1330.42039	4	17155003.001218155	y17	-0.39	1	
1330.67073	4	9392690.040758504	y17	-0.6	1	
1330.92235	4	4492667.574908575	y17	0.16	1	
1331.17274153	4	1920504.589931689	y17	0.0	1	
1331.42334153	4	745905.379551104	y17	0.0	1	
1331.6739375299999	4	266463.1724492116	y17	0.0	1	
1856.62723	3	3486053.5639426545	y17+CMCT	0.25	1	
1856.95284	3	7588135.782054046	y17+CMCT	-4.4	1	
1857.28401	3	9087071.547366243	y17+CMCT	-6.04	1	
1857.62291	3	7795510.452687316	y17+CMCT	-3.51	1	
1857.96360053	3	5320927.721648135	y17+CMCT	0.0	1	
1858.2977651966667	3	3055824.1965202163	y17+CMCT	0.0	1	
1858.631920863333	3	1528516.177830643	y17+CMCT	0.0	1	
1858.9660691966665	3	681635.5928163677	y17+CMCT	0.0	1	
1859.3002111966666	3	275577.2027904252	y17+CMCT	0.0	1	
1859.6343481966667	3	102303.79823573273	y17+CMCT	0.0	1	
1405.92751	4	17815411.097490612	y18	2.04	1	
1406.17715	4	37762077.284538545	y18	1.3	1	
1406.42793	4	44515906.80539354	y18	1.38	1	
1406.6761	4	37804073.96330021	y18	-0.37	1	
1406.92899	4	25643362.945873793	y18	1.24	1	
1407.17735	4	14677457.439217051	y18	-0.37	1	
1407.43317	4	7333383.68776613	y18	3.33	1	
1407.67877	4	3272686.639500795	y18	-0.23	1	
1407.9296927799999	4	1326140.5788971083	y18	0.0	1	
1408.18029153	4	494033.65743280784	y18	0.0	1	
1958.6351938633331	3	1937497.9686879385	y18+CMCT	0.0	1	
1958.96315	3	4429951.188076954	y18+CMCT	-3.22	1	
1959.30949	3	5555593.918852622	y18+CMCT	2.97	1	
1959.63831	3	4982863.164529084	y18+CMCT	0.22	1	
1959.97107	3	3551883.5498931822	y18+CMCT	-0.5	1	
1960.3087	3	2128517.096521389	y18+CMCT	1.27	0	
1960.6403781966665	3	1110219.939569665	y18+CMCT	0.0	1	
1960.9745298633331	3	516000.42361356056	y18+CMCT	0.0	1	
1961.3086751966666	3	217343.47479796348	y18+CMCT	0.0	1	
1961.6428151966666	3	84014.91833715628	y18+CMCT	0.0	1	
1468.71676	4	4116281.265763603	y18+CMCT	-5.32	1	
1468.98032	4	9411584.10404784	y18+CMCT	3.44	1	
1469.23504	4	11803050.913054416	y18+CMCT	6.2	1	
1469.48641	4	10586264.669946697	y18+CMCT	6.69	1	
1469.73504	4	7546099.119009748	y18+CMCT	5.32	1	
1469.98795	4	4522107.991783763	y18+CMCT	6.87	1	
1470.2284645299999	4	2358700.557101782	y18+CMCT	0.0	1	
1470.4790782799998	4	1096260.698680858	y18+CMCT	0.0	1	
1470.72968728	4	461753.7091678451	y18+CMCT	0.0	1	
1470.98029228	4	178492.59198454214	y18+CMCT	0.0	1	
1368.1622832799999	4	1307572.2811916731	y18-G	0.0	1	
1368.41487	4	2675165.219342708	y18-G	1.38	1	
1368.66788	4	3064241.8911985047	y18-G	3.09	1	
1368.9142880299999	4	2536612.035990333	y18-G	0.0	1	
1369.16491903	4	1680957.7790475956	y18-G	0.0	1	
1369.41554078	4	941457.4473833869	y18-G	0.0	1	
1369.6661557799998	4	460860.83708665514	y18-G	0.0	1	
1369.9167650299999	4	201697.26353734694	y18-G	0.0	1	
1370.16736978	4	80216.36853127931	y18-G	0.0	1	
1370.41797028	4	29350.303937829605	y18-G	0.0	1	
1492.18587	4	26196365.927588828	y19	-0.42	1	
1492.43566	4	58966429.189770445	y19	-1.02	1	
1492.68644	4	73334689.52346405	y19	-0.94	1	
1492.93754	4	65482558.72656309	y19	-0.63	1	
1493.18816	4	46596491.848485656	y19	-0.63	1	
1493.44003	4	27931415.220137093	y19	0.2	1	
1493.68389	4	14596389.769169966	y19	-4.32	1	
1493.93058	4	6805915.576451793	y19	-6.94	1	
1494.19154803	4	2879038.9068936403	y19	0.0	1	
1494.44214728	4	1118905.111696266	y19	0.0	1	
1554.97978	4	5160855.5552789485	y19+CMCT	-4.28	1	
1555.24007	4	12477630.523873657	y19+CMCT	1.89	1	
1555.49121	4	16463203.108067133	y19+CMCT	2.2	1	
1555.74206	4	15491029.229586512	y19+CMCT	2.33	1	
1555.98778	4	11561646.85867278	y19+CMCT	-0.83	1	
1556.24367	4	7243621.814751512	y19+CMCT	2.55	1	
1556.4903175299999	4	3945566.36235635	y19+CMCT	0.0	1	
1556.75065	4	1913265.418256024	y19+CMCT	6.24	1	
1556.9915405299998	4	840130.6585796344	y19+CMCT	0.0	1	
1557.24214553	4	338351.2977302443	y19+CMCT	0.0	1	
1557.49274728	4	126220.00802677196	y19+CMCT	0.0	1	
1517.21819	4	5110182.942551173	y19+CMCT-G	-3.88	1	
1517.46785	4	11978369.258009505	y19+CMCT-G	-4.57	1	
1517.71808	4	15395740.82196883	y19+CMCT-G	-4.86	1	
1517.9708	4	14149676.542043483	y19+CMCT-G	-3.49	1	
1518.21753	4	10334264.38220074	y19+CMCT-G	-6.06	1	
1518.4773670299999	4	6344692.101200351	y19+CMCT-G	0.0	1	
1518.72798903	4	3390358.690302896	y19+CMCT-G	0.0	1	
1518.97860503	4	1614244.88693405	y19+CMCT-G	0.0	1	
1519.22921628	4	696501.6009613922	y19+CMCT-G	0.0	1	
1519.47982328	4	275822.96700086235	y19+CMCT-G	0.0	1	
1454.42414178	4	4107039.942308434	y19-G	0.0	1	
1454.66719	4	8941918.825277673	y19-G	-5.26	1	
1454.91832	4	10819876.525508652	y19-G	-4.93	1	
1455.16924	4	9428097.800302926	y19-G	-4.74	1	
1455.42677203	4	6560467.479101084	y19-G	0.0	1	
1455.67265	4	3851405.5746930204	y19-G	-3.26	1	
1455.92149	4	1973447.8744620418	y19-G	-4.48	1	
1456.1786187799999	4	903099.2663690839	y19-G	0.0	1	
1456.42922378	4	375214.1085274958	y19-G	0.0	1	
1456.67982478	4	143329.61922627085	y19-G	0.0	1	
1568.68875	4	12210963.464079274	y20	-2.59	1	
1568.94162	4	28825812.926054817	y20	-1.2	1	
1569.19175	4	37466748.19141423	y20	-1.54	1	
1569.44161	4	34899541.14181188	y20	-2.04	1	
1569.69268	4	25873756.34613596	y20	-1.76	1	
1569.94322	4	16143957.592372144	y20	-1.81	1	
1570.1969	4	8775220.997194454	y20	0.14	0	
1570.44729153	4	4253410.517548804	y20	0.0	1	
1570.69789703	4	1869538.6497237817	y20	0.0	1	
1570.94849878	4	754606.9221892158	y20	0.0	1	
1571.1990970299998	4	282463.0911012814	y20	0.0	1	
1631.49134	4	7175762.454752306	y20+CMCT	-0.87	1	
1631.74304	4	18136448.139593758	y20+CMCT	-0.25	1	
1631.99034	4	24951341.474387236	y20+CMCT	-2.32	1	
1632.24068	4	24444295.86099238	y20+CMCT	-2.51	1	
1632.49246	4	18975284.945576873	y20+CMCT	-1.81	1	
1632.74204	4	12355555.88755917	y20+CMCT	-2.45	1	
1632.99646	4	6990147.755600072	y20+CMCT	-0.12	1	
1633.2453	4	3519037.2373797134	y20+CMCT	-1.21	1	
1633.4978867799998	4	1603518.3400331044	y20+CMCT	0.0	1	
1633.74849428	4	670020.3026755425	y20+CMCT	0.0	1	
1633.99909803	4	259305.01037710052	y20+CMCT	0.0	1	
1530.93046753	4	850373.8030516749	y20-G	0.0	1	
1531.1811655299998	4	1944742.518261206	y20-G	0.0	1	
1531.43182953	4	2462033.61717292	y20-G	0.0	1	
1531.68798	4	2240103.264755823	y20-G	3.59	1	
1531.93353	4	1625381.2191322017	y20-G	0.27	1	
1532.1837345299998	4	994001.6602819449	y20-G	0.0	1	
1532.4343525299998	4	530160.799955165	y20-G	0.0	1	
1532.68496478	4	252376.8310474293	y20-G	0.0	1	
1532.9355722799999	4	109026.96822007696	y20-G	0.0	1	
1533.18617578	4	43282.9532511236	y20-G	0.0	1	
1707.9959	4	15849283.838742409	y21+CMCT	-1.87	1	
1708.24739	4	41797297.214658745	y21+CMCT	-1.4	1	
1708.49711	4	59852494.78217033	y21+CMCT	-1.96	1	
1708.74813	4	60945211.1624447	y21+CMCT	-1.74	1	
1708.99848	4	49122975.3083178	y21+CMCT	-1.91	1	
1709.24924	4	33186632.426819112	y21+CMCT	-1.83	1	
1709.50136	4	19468862.06494305	y21+CMCT	-0.96	1	
1709.75594	4	10158082.54711888	y21+CMCT	1.36	1	
1709.99884	4	4795711.2612970425	y21+CMCT	-3.15	1	
1710.25484153	4	2075265.45335714	y21+CMCT	0.0	1	
1710.5054475299999	4	831479.5407279005	y21+CMCT	0.0	1	
1670.23961	4	2361011.651363803	y21+CMCT-G	1.72	0	
1670.48743728	4	6052354.27189412	y21+CMCT-G	0.0	1	
1670.73343	4	8459331.134850683	y21+CMCT-G	-2.8	1	
1670.98457	4	8427821.559564125	y21+CMCT-G	-2.51	1	
1671.25065	4	6657593.823373491	y21+CMCT-G	6.73	1	
1671.49004328	4	4413773.871193922	y21+CMCT-G	0.0	1	
1671.7406700299998	4	2543573.346397768	y21+CMCT-G	0.0	1	
1671.9912907799999	4	1304760.3714208775	y21+CMCT-G	0.0	1	
1672.24190628	4	606023.1665715759	y21+CMCT-G	0.0	1	
1672.4925177799998	4	258180.5514317453	y21+CMCT-G	0.0	1	
1672.7431255299998	4	101869.9619866471	y21+CMCT-G	0.0	1	
1784.26131	4	11241555.389498914	y22+CMCT	1.07	1	
1784.51448	4	30917426.714521494	y22+CMCT	2.45	1	
1784.76374	4	46032351.326647915	y22+CMCT	1.66	1	
1785.01315	4	48648030.73018747	y22+CMCT	0.96	1	
1785.26513	4	40644484.49643421	y22+CMCT	1.71	1	
1785.5147	4	28434694.98654788	y22+CMCT	1.12	1	
1785.76735	4	17261079.94626222	y22+CMCT	2.25	1	
1786.02027	4	9313309.2292021	y22+CMCT	3.54	1	
1786.26948	4	4544502.551940093	y22+CMCT	2.75	1	
1786.5151742799999	4	2031719.3602309541	y22+CMCT	0.0	1	
1786.76578153	4	840719.7494648737	y22+CMCT	0.0	1	
1746.4970552799998	4	978550.5656220203	y22+CMCT-G	0.0	1	
1746.74775878	4	2619137.778662085	y22+CMCT-G	0.0	1	
1746.99303	4	3809570.2679456584	y22+CMCT-G	-3.09	1	
1747.2454	4	3942019.515432867	y22+CMCT-G	-2.11	1	
1747.50784	4	3229937.429271964	y22+CMCT-G	4.64	1	
1747.75438	4	2218801.4377956176	y22+CMCT-G	2.29	1	
