spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1411_1_6.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev*n 	formula 
1281.164696	2	49247646.9	w08	4.5	0.08	C75H96N28O58P8	
853.770096	3	18306615.33	w08	-0.12	0.1	C75H96N28O58P8	
1606.688124	2	11484275.54	w10	-4.47	0.32	C94H119N35O73P10	
1070.79723	3	38286408.85	w10	2.6	0.08	C94H119N35O73P10	
1732.289134	2	63712934.38	w10+CMCT	-3.49	0.21	C108H144N38O74P10	
1180.478686	3	73170315.39	w11	0.06	0.04	C104H131N40O79P11	
1273.145278	4	14392367.99	w16	-3.37	0.33	C150H188N54O116P16	
1883.28018	3	147671479.09	w17+CMCT	-1.07	0.2	C173H225N60O124P17	
1412.203293	4	73482792.31	w17+CMCT	-4.63	0.22	C173H225N60O124P17	
1832.92547	3	18061903.82	w17+CMCT-G	-3.78	0.32	C168H220N55O123P17	
1425.920288	4	59525257.54	w18	2.85	0.16	C168H211N59O131P18	
1985.281562	3	85113522.91	w18+CMCT	-4.57	0.13	C182H236N62O132P18	
1488.707083	4	246417942.17	w18+CMCT	-6.1	0.18	C182H236N62O132P18	
1934.941992	3	23025750.79	w18+CMCT-G	0.6	0.35	C177H231N57O131P18	
1450.94985	4	45792934.34	w18+CMCT-G	-2.73	0.06	C177H231N57O131P18	
2100.300344	3	14749378.14	w19+CMCT	-2.91	0.44	C192H248N67O139P19	
1574.969329	4	556253146.39	w19+CMCT	-5.52	0.15	C192H248N67O139P19	
1537.210832	4	82451904.91	w19+CMCT-G	-3.14	0.15	C187H243N62O138P19	
1727.993594	4	35916137.75	w21+CMCT	1.69	0.17	C210H270N71O155P21	
1804.245439	4	60065035.7	w22+CMCT	-3.08	0.09	C219H282N74O162P22	
1461.973716	5	168315398.64	w23	3.31	0.19	C215H269N76O168P23	
1890.51333	4	79299319.23	w23+CMCT	0.25	0.14	C229H294N79O169P23	
1512.206527	5	220184831.65	w23+CMCT	-1.52	0.13	C229H294N79O169P23	
1481.999129	5	62034888.6	w23+CMCT-G	0.13	0.22	C224H289N74O168P23	
1573.411499	5	25778492.68	w24+CMCT	-1.52	0.25	C238H305N81O177P24	
1634.417523	5	64590307.23	w25+CMCT	-2.83	0.13	C247H317N84O184P25	
1294.811359	6	9111019.17	w25-G	1.79	0.54	C228H287N76O182P25	
1419.354904	6	195567686.94	w26+CMCT	-2.52	0.27	C257H329N89O191P26	
1394.179775	6	33900596.58	w26+CMCT-G	-2.73	0.29	C252H324N84O190P26	
2028.977839	4	8722319.34	w26-G	-0.6	0.6	C238H299N81O189P26	
548.103399	1	46309973.3	y02	-0.27	0.05	C18H24N5O13P1	
799.30697	1	4608678.11	y02+CMCT	4.58	0.29	C32H49N8O14P1	
893.151711	1	215115263.46	y03	0.82	0.03	C28H36N10O20P2	
742.10381	1	3598744.76	y03-G	3.02	0.22	C23H31N5O19P2	
1222.203777	1	173910429.44	y04	0.23	0.03	C38H48N15O26P3	
610.598609	2	57310639.84	y04	0.81	0.05	C38H48N15O26P3	
1473.41199	1	7013505.69	y04+CMCT	5.92	0.43	C52H73N18O27P3	
1527.246737	1	30124563.91	y05	1.28	0.04	C47H60N18O33P4	
763.118891	2	154793062.9	y05	0.18	0.03	C47H60N18O33P4	
915.639629	2	197130606.33	y06	0.25	0.03	C56H72N21O40P5	
457.31847	4	3912036.29	y06	5.27	0.46	C56H72N21O40P5	
1068.653141	2	206991739.77	y07	1.02	0.02	C65H83N23O48P6	
1194.251809	2	11738850.8	y07+CMCT	-0.1	0.27	C79H108N26O49P6	
1241.176137	2	475008382.63	y08	0.3	0.02	C75H95N28O55P7	
827.115159	3	37186035.63	y08	0.49	0.15	C75H95N28O55P7	
1366.780688	2	7833415.04	y08+CMCT	3.69	0.43	C89H120N31O56P7	
1165.653069	2	21065462.39	y08-G	1.72	0.12	C70H90N23O54P7	
1413.69741	2	245200145.92	y09	-1.47	0.08	C85H107N33O62P8	
942.130108	3	126706200.75	y09	-0.48	0.03	C85H107N33O62P8	
1566.709891	2	57282996.24	y10	-1.43	0.15	C94H118N35O70P9	
1044.140029	3	197275598.46	y10	0.99	0.02	C94H118N35O70P9	
1731.239818	2	16389600.12	y11	0.82	0.37	C104H130N40O76P10	
1153.824607	3	319850001.74	y11	1.24	0.03	C104H130N40O76P10	
1237.553248	3	11250076.58	y11+CMCT	-2.57	0.32	C118H155N43O77P10	
1103.471988	3	23635038.12	y11-G	-1.25	0.08	C99H125N35O75P10	
1895.763008	2	12410909.99	y12	-0.87	0.43	C114H142N45O82P11	
1263.506701	3	350426244.91	y12	-0.51	0.02	C114H142N45O82P11	
1347.243117	3	12799325.2	y12+CMCT	1.87	0.31	C128H167N48O83P11	
1213.157708	3	27508412.09	y12-G	0.14	0.13	C109H137N40O81P11	
1365.517572	3	223505715.04	y13	1.31	0.04	C123H153N47O90P12	
1449.253016	3	37280659.07	y13+CMCT	2.75	0.06	C137H178N50O91P12	
1315.168202	3	23225837.6	y13-G	1.69	0.1	C118H148N42O89P12	
1467.526817	3	166534659.36	y14	1.77	0.06	C132H164N49O98P13	
1100.389665	4	22742014.39	y14	-1.52	0.14	C132H164N49O98P13	
1551.263436	3	43133023.45	y14+CMCT	3.85	0.17	C146H189N52O99P13	
1569.533243	3	155799988.51	y15	0.38	0.03	C141H175N51O106P14	
1176.898049	4	134384574.06	y15	0.32	0.02	C141H175N51O106P14	
1653.270625	3	104350234.91	y15+CMCT	2.86	0.06	C155H200N54O107P14	
1519.176233	3	18457897.85	y15-G	-4.35	0.37	C136H170N46O105P14	
1671.208116	3	102091433.33	y16	-2.97	0.04	C150H187N54O113P15	
1253.158794	4	140112353.4	y16	0.64	0.02	C150H187N54O113P15	
1754.944336	3	59505638.33	y16+CMCT	-1.14	0.07	C164H212N57O114P15	
1215.394196	4	14114020.9	y16-G	-1.18	0.32	C145H182N49O112P15	
1329.41792	4	136661342.05	y17	-0.29	0.03	C159H199N57O120P16	
1856.620401	3	38921556.04	y17+CMCT	-3.42	0.19	C173H224N60O121P16	
1405.926098	4	190644534.1	y18	1.04	0.04	C168H210N59O128P17	
1958.634937	3	24513885.64	y18+CMCT	-0.13	0.14	C182H235N62O129P17	
1468.730254	4	52080595.62	y18+CMCT	3.87	0.11	C182H235N62O129P17	
1368.165344	4	12978131.43	y18-G	2.24	0.37	C163H205N54O127P17	
1492.183755	4	323908199.8	y19	-1.84	0.02	C178H222N64O135P18	
1554.98868	4	75561520.84	y19+CMCT	1.44	0.08	C192H247N67O136P18	
1517.217145	4	69289854.19	y19+CMCT-G	-4.57	0.17	C187H242N62O135P18	
1454.417547	4	47103897.02	y19-G	-4.53	0.23	C173H217N59O134P18	
1568.689956	4	171356019.84	y20	-1.83	0.03	C187H233N66O143P19	
1631.490409	4	119080717.41	y20+CMCT	-1.44	0.03	C201H258N69O144P19	
1530.933429	4	11051483.64	y20-G	1.93	0.5	C182H228N61O142P19	
1707.996532	4	298083295.6	y21+CMCT	-1.5	0.03	C210H269N71O152P20	
1670.237521	4	41186293.71	y21+CMCT-G	0.47	0.23	C205H264N66O151P20	
1784.262882	4	239909874.48	y22+CMCT	1.95	0.02	C219H281N74O159P21	
1746.49781	4	19371103.19	y22+CMCT-G	0.43	0.22	C214H276N69O158P21	
